t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
0.0000	6.2902	-0.4004	1.9908	-0.3491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	6.2902	-0.4004	1.9907	-0.3491	0.0074	0.0001	-0.0125	0.0034	0.7446	0.0055	-1.2456	0.3435
0.0200	6.2903	-0.4004	1.9906	-0.3491	0.0080	-0.0006	-0.0128	0.0004	0.7969	-0.0582	-1.2799	0.0360
0.0300	6.2904	-0.4004	1.9904	-0.3491	0.0087	-0.0001	-0.0126	-0.0031	0.8659	-0.0124	-1.2635	-0.3050
0.0400	6.2905	-0.4004	1.9903	-0.3491	0.0077	0.0001	-0.0139	0.0028	0.7729	0.0050	-1.3877	0.2751
0.0500	6.2906	-0.4004	1.9902	-0.3491	0.0082	0.0004	-0.0142	0.0003	0.8166	0.0389	-1.4155	0.0308
0.0600	6.2907	-0.4003	1.9900	-0.3491	0.0085	0.0009	-0.0151	0.0000	0.8464	0.0862	-1.5098	0.0021
0.0710	6.2907	-0.4003	1.9899	-0.3491	0.0074	0.0005	-0.0128	-0.0007	0.6757	0.0428	-1.1647	-0.0668
0.0800	6.2908	-0.4004	1.9898	-0.3491	0.0072	-0.0011	-0.0133	0.0008	0.8041	-0.1240	-1.4767	0.0878
0.1130	6.2909	-0.4004	1.9895	-0.3491	0.0043	-0.0003	-0.0079	-0.0002	0.1307	-0.0101	-0.2399	-0.0050
0.1420	6.2912	-0.4004	1.9889	-0.3491	0.0073	0.0000	-0.0141	-0.0000	0.2516	0.0016	-0.4849	-0.0010
0.1520	6.2913	-0.4003	1.9888	-0.3491	0.0068	0.0009	-0.0127	0.0001	0.6774	0.0890	-1.2736	0.0127
0.1600	6.2914	-0.4003	1.9887	-0.3491	0.0089	0.0007	-0.0158	-0.0049	1.1147	0.0888	-1.9780	-0.6100
0.1940	6.2916	-0.4003	1.9883	-0.3491	0.0055	0.0001	-0.0121	0.0011	0.1629	0.0015	-0.3571	0.0338
0.2250	6.2917	-0.4003	1.9880	-0.3491	0.0040	0.0002	-0.0085	-0.0000	0.1276	0.0054	-0.2748	-0.0006
0.2580	6.2920	-0.4003	1.9874	-0.3491	0.0059	0.0003	-0.0131	0.0000	0.1774	0.0078	-0.3957	0.0001
0.2800	6.2921	-0.4003	1.9872	-0.3491	0.0077	0.0001	-0.0121	-0.0001	0.3513	0.0039	-0.5496	-0.0031
0.2910	6.2925	-0.4002	1.9869	-0.3491	0.0180	0.0052	-0.0149	-0.0009	1.6368	0.4756	-1.3508	-0.0851
0.3000	6.2927	-0.4001	1.9867	-0.3491	0.0286	0.0125	-0.0218	0.0010	3.1779	1.3862	-2.4250	0.1145
0.3350	6.2939	-0.3996	1.9859	-0.3491	0.0331	0.0166	-0.0221	-0.0001	0.9467	0.4738	-0.6326	-0.0017
0.3620	6.2956	-0.3986	1.9848	-0.3491	0.0619	0.0371	-0.0403	0.0001	2.2943	1.3726	-1.4939	0.0027
0.4000	6.2969	-0.3977	1.9839	-0.3491	0.0353	0.0231	-0.0239	-0.0002	0.9295	0.6082	-0.6289	-0.0041
0.4330	6.3017	-0.3942	1.9804	-0.3491	0.1216	0.0895	-0.0886	0.0000	3.6849	2.7124	-2.6856	0.0003
0.4670	6.3050	-0.3916	1.9779	-0.3490	0.0958	0.0753	-0.0740	0.0023	2.8190	2.2144	-2.1752	0.0683
0.4700	6.3062	-0.3906	1.9769	-0.3488	0.4194	0.3491	-0.3320	0.0475	139.7931	116.3632	-110.6831	15.8297
0.4800	6.3075	-0.3895	1.9758	-0.3486	0.1310	0.1093	-0.1043	0.0216	13.0979	10.9340	-10.4344	2.1627
0.4970	6.3090	-0.3882	1.9746	-0.3483	0.0888	0.0751	-0.0709	0.0189	5.2255	4.4192	-4.1731	1.1113
0.5130	6.3118	-0.3858	1.9724	-0.3475	0.1737	0.1485	-0.1410	0.0478	10.8532	9.2801	-8.8123	2.9877
0.5470	6.3134	-0.3845	1.9711	-0.3470	0.0454	0.0397	-0.0374	0.0150	1.3357	1.1666	-1.1001	0.4402
0.5790	6.3183	-0.3801	1.9670	-0.3451	0.0538	0.0476	-0.0451	0.0226	1.6806	1.4888	-1.4086	0.7065
0.6080	6.3238	-0.3752	1.9623	-0.3425	0.0392	0.0359	-0.0334	0.0197	1.3504	1.2389	-1.1531	0.6786
0.6400	6.3298	-0.3696	1.9571	-0.3393	0.0640	0.0592	-0.0562	0.0358	2.0004	1.8498	-1.7565	1.1184
0.6680	6.3365	-0.3634	1.9511	-0.3353	0.0869	0.0819	-0.0776	0.0532	3.1035	2.9258	-2.7732	1.8996
0.6780	6.3432	-0.3570	1.9451	-0.3309	0.2130	0.2035	-0.1941	0.1402	21.3030	20.3517	-19.4103	14.0197
0.6800	6.3456	-0.3546	1.9429	-0.3293	1.2048	1.1702	-1.0932	0.8097	602.4065	585.0815	-546.5830	404.8590
0.7140	6.3481	-0.3523	1.9406	-0.3276	0.0725	0.0702	-0.0666	0.0496	2.1338	2.0650	-1.9588	1.4588
0.7450	6.3561	-0.3445	1.9332	-0.3220	0.0927	0.0904	-0.0868	0.0670	2.9912	2.9176	-2.8000	2.1601
0.7770	6.3696	-0.3312	1.9203	-0.3118	0.2370	0.2355	-0.2269	0.1813	7.4068	7.3598	-7.0913	5.6671
0.8110	6.3728	-0.3280	1.9173	-0.3093	0.0937	0.0940	-0.0903	0.0734	2.7557	2.7646	-2.6560	2.1596
0.8220	6.3845	-0.3161	1.9058	-0.2999	0.2512	0.2564	-0.2472	0.2058	22.8370	23.3050	-22.4765	18.7134
0.8300	6.3876	-0.3129	1.9027	-0.2973	0.3887	0.3955	-0.3844	0.3218	48.5909	49.4362	-48.0507	40.2244
