t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
0.0000	5.7787	-0.5279	1.3770	-0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0090	5.7787	-0.5278	1.3772	-0.0003	0.0005	0.0073	0.0219	0.0002	0.0509	0.8121	2.4369	0.0177
0.0200	5.7787	-0.5277	1.3774	-0.0003	-0.0001	0.0080	0.0223	0.0003	-0.0092	0.7259	2.0271	0.0250
0.0290	5.7787	-0.5277	1.3777	-0.0003	-0.0007	0.0084	0.0231	0.0002	-0.0786	0.9353	2.5655	0.0261
0.0390	5.7787	-0.5276	1.3779	-0.0003	-0.0008	0.0082	0.0233	0.0001	-0.0843	0.8250	2.3258	0.0067
0.0490	5.7786	-0.5275	1.3781	-0.0003	-0.0011	0.0067	0.0231	0.0001	-0.1133	0.6689	2.3102	0.0144
0.0590	5.7786	-0.5274	1.3783	-0.0003	-0.0007	0.0089	0.0217	0.0001	-0.0652	0.8884	2.1699	0.0093
0.0690	5.7786	-0.5273	1.3785	-0.0003	-0.0006	0.0091	0.0214	0.0002	-0.0593	0.9101	2.1351	0.0176
0.0800	5.7786	-0.5272	1.3788	-0.0003	-0.0006	0.0077	0.0204	0.0001	-0.0588	0.6962	1.8517	0.0081
0.1150	5.7787	-0.5269	1.3794	-0.0002	0.0007	0.0094	0.0176	0.0019	0.0205	0.2678	0.5024	0.0548
0.1500	5.7788	-0.5268	1.3798	0.0001	0.0041	0.0031	0.0116	0.0079	0.1165	0.0873	0.3302	0.2257
0.1810	5.7798	-0.5270	1.3803	0.0013	0.0209	-0.0060	0.0061	0.0240	0.6736	-0.1947	0.1972	0.7729
0.1890	5.7807	-0.5274	1.3804	0.0022	0.0549	-0.0244	0.0024	0.0573	6.8628	-3.0550	0.2965	7.1613
0.1990	5.7813	-0.5276	1.3803	0.0028	0.0551	-0.0267	-0.0029	0.0563	5.5131	-2.6706	-0.2897	5.6337
0.2310	5.7834	-0.5288	1.3799	0.0049	0.0679	-0.0365	-0.0121	0.0657	2.1225	-1.1416	-0.3777	2.0540
0.2650	5.7861	-0.5304	1.3791	0.0074	0.0782	-0.0462	-0.0234	0.0722	2.3010	-1.3595	-0.6891	2.1234
0.2980	5.7896	-0.5326	1.3778	0.0105	0.1056	-0.0669	-0.0403	0.0951	3.1986	-2.0265	-1.2227	2.8808
0.3250	5.7920	-0.5343	1.3768	0.0127	0.0908	-0.0613	-0.0388	0.0808	3.3620	-2.2687	-1.4383	2.9918
0.3520	5.7982	-0.5385	1.3737	0.0180	0.1762	-0.1215	-0.0887	0.1533	6.5270	-4.4995	-3.2837	5.6784
0.3760	5.8016	-0.5409	1.3719	0.0210	0.1421	-0.1004	-0.0759	0.1224	5.9213	-4.1839	-3.1645	5.1000
0.3800	5.8034	-0.5422	1.3709	0.0225	0.4518	-0.3260	-0.2482	0.3867	112.9558	-81.5123	-62.0435	96.6822
0.3890	5.8051	-0.5434	1.3700	0.0240	0.1861	-0.1371	-0.1044	0.1599	20.6821	-15.2302	-11.5954	17.7638
0.4220	5.8090	-0.5463	1.3677	0.0273	0.1179	-0.0879	-0.0674	0.1013	3.5717	-2.6622	-2.0429	3.0711
0.4540	5.8175	-0.5528	1.3626	0.0346	0.2020	-0.1553	-0.1220	0.1733	6.3116	-4.8546	-3.8113	5.4155
0.4840	5.8245	-0.5583	1.3583	0.0406	0.2335	-0.1820	-0.1453	0.1996	7.7817	-6.0652	-4.8437	6.6537
0.5120	5.8269	-0.5602	1.3567	0.0427	0.0876	-0.0694	-0.0557	0.0748	3.1292	-2.4789	-1.9904	2.6707
0.5340	5.8346	-0.5664	1.3518	0.0493	0.1072	-0.0867	-0.0701	0.0917	4.8717	-3.9396	-3.1875	4.1676
0.5390	5.8400	-0.5708	1.3482	0.0539	0.5461	-0.4434	-0.3611	0.4666	109.2261	-88.6850	-72.2108	93.3109
0.5490	5.8428	-0.5731	1.3463	0.0563	0.2781	-0.2297	-0.1858	0.2379	27.8101	-22.9712	-18.5790	23.7935
0.5790	5.8488	-0.5781	1.3423	0.0614	0.2010	-0.1655	-0.1360	0.1716	6.6986	-5.5171	-4.5321	5.7188
0.6130	5.8545	-0.5828	1.3384	0.0662	0.0883	-0.0735	-0.0607	0.0754	2.5975	-2.1619	-1.7850	2.2181
0.6420	5.8670	-0.5933	1.3296	0.0769	0.2089	-0.1751	-0.1471	0.1784	7.2027	-6.0374	-5.0715	6.1503
0.6750	5.8769	-0.6017	1.3225	0.0854	0.2020	-0.1719	-0.1441	0.1728	6.1209	-5.2091	-4.3672	5.2377
0.7080	5.8908	-0.6137	1.3125	0.0974	0.3074	-0.2659	-0.2239	0.2640	9.3160	-8.0563	-6.7856	8.0013
0.7420	5.8980	-0.6200	1.3072	0.1036	0.2120	-0.1863	-0.1559	0.1828	6.2366	-5.4802	-4.5850	5.3755
0.7740	5.9130	-0.6333	1.2960	0.1165	0.2250	-0.2000	-0.1684	0.1943	7.0297	-6.2493	-5.2619	6.0706
0.7790	5.9207	-0.6402	1.2901	0.1232	0.7774	-0.6977	-0.5900	0.6742	155.4806	-139.5328	-118.0018	134.8459
0.7890	5.9247	-0.6437	1.2871	0.1266	0.3931	-0.3543	-0.2991	0.3409	39.3058	-35.4332	-29.9102	34.0923
0.8210	5.9326	-0.6510	1.2810	0.1335	0.2492	-0.2262	-0.1910	0.2168	7.7872	-7.0688	-5.9690	6.7764
0.8540	5.9449	-0.6622	1.2715	0.1442	0.2488	-0.2287	-0.1933	0.2172	7.5400	-6.9310	-5.8569	6.5805
0.8870	5.9575	-0.6739	1.2617	0.1553	0.2553	-0.2380	-0.1999	0.2240	7.7365	-7.2116	-6.0568	6.7873
0.9180	5.9704	-0.6861	1.2515	0.1666	0.2785	-0.2628	-0.2210	0.2455	8.9827	-8.4774	-7.1294	7.9184
0.9510	5.9836	-0.6986	1.2409	0.1783	0.2674	-0.2554	-0.2144	0.2370	8.1030	-7.7384	-6.4970	7.1830
0.9810	6.0016	-0.7160	1.2263	0.1944	0.3024	-0.2931	-0.2459	0.2700	10.0798	-9.7708	-8.1976	8.9993
0.9900	6.0112	-0.7255	1.2184	0.2030	0.5631	-0.5541	-0.4613	0.5054	62.5656	-61.5686	-51.2529	56.1517
0.9990	6.0154	-0.7296	1.2150	0.2068	0.4632	-0.4580	-0.3815	0.4168	51.4687	-50.8924	-42.3920	46.3121
1.0310	6.0247	-0.7389	1.2072	0.2152	0.2921	-0.2907	-0.2427	0.2634	9.1287	-9.0857	-7.5831	8.2312
1.0600	6.0347	-0.7488	1.1989	0.2242	0.1799	-0.1799	-0.1507	0.1630	6.2032	-6.2042	-5.1973	5.6200
1.0920	6.0534	-0.7678	1.1831	0.2412	0.3012	-0.3073	-0.2554	0.2751	9.4113	-9.6034	-7.9822	8.5978
1.1250	6.0729	-0.7880	1.1664	0.2592	0.4451	-0.4609	-0.3819	0.4097	13.4870	-13.9676	-11.5725	12.4145
1.1570	6.0878	-0.8036	1.1534	0.2730	0.4646	-0.4881	-0.4038	0.4307	14.5180	-15.2543	-12.6187	13.4600
1.1890	6.1078	-0.8251	1.1358	0.2918	0.6267	-0.6699	-0.5513	0.5863	19.5830	-20.9345	-17.2285	18.3233
1.2190	6.1180	-0.8360	1.1268	0.3013	0.3371	-0.3654	-0.3003	0.3182	11.2364	-12.1805	-10.0107	10.6057
1.2290	6.1281	-0.8472	1.1177	0.3109	0.5087	-0.5591	-0.4575	0.4838	50.8745	-55.9133	-45.7463	48.3813
1.2400	6.1337	-0.8533	1.1126	0.3163	0.5108	-0.5604	-0.4608	0.4862	46.4337	-50.9433	-41.8940	44.2007
1.2720	6.1435	-0.8641	1.1037	0.3256	0.3042	-0.3377	-0.2767	0.2910	9.5055	-10.5535	-8.6463	9.0944
1.3050	6.1594	-0.8821	1.0891	0.3410	0.3277	-0.3694	-0.3008	0.3166	9.9301	-11.1942	-9.1138	9.5925
1.3400	6.1698	-0.8939	1.0795	0.3510	0.1625	-0.1857	-0.1508	0.1581	4.6437	-5.3056	-4.3083	4.5185
1.3730	6.1952	-0.9234	1.0556	0.3760	0.2996	-0.3503	-0.2827	0.2955	9.0774	-10.6146	-8.5680	8.9557
