t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
0.0000	5.7491	-0.3439	1.7801	-0.2790	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0090	5.7491	-0.3439	1.7799	-0.2791	0.0021	-0.0054	-0.0191	-0.0019	0.2339	-0.5997	-2.1167	-0.2105
0.0190	5.7492	-0.3440	1.7797	-0.2791	0.0019	-0.0046	-0.0176	-0.0018	0.1920	-0.4556	-1.7578	-0.1809
0.0290	5.7492	-0.3440	1.7796	-0.2791	0.0016	-0.0028	-0.0157	-0.0018	0.1622	-0.2835	-1.5670	-0.1821
0.0400	5.7492	-0.3440	1.7794	-0.2791	0.0018	-0.0023	-0.0165	-0.0018	0.1676	-0.2109	-1.4962	-0.1666
0.0490	5.7492	-0.3441	1.7792	-0.2791	0.0019	-0.0026	-0.0160	-0.0019	0.2118	-0.2927	-1.7792	-0.2128
0.0590	5.7492	-0.3441	1.7791	-0.2792	0.0023	-0.0044	-0.0173	-0.0018	0.2329	-0.4420	-1.7263	-0.1817
0.0700	5.7493	-0.3442	1.7789	-0.2792	0.0023	-0.0051	-0.0182	-0.0017	0.2086	-0.4629	-1.6564	-0.1572
0.0790	5.7493	-0.3442	1.7787	-0.2792	0.0023	-0.0043	-0.0181	-0.0017	0.2586	-0.4798	-2.0092	-0.1916
0.1100	5.7493	-0.3443	1.7783	-0.2792	0.0014	-0.0023	-0.0115	-0.0011	0.0453	-0.0727	-0.3701	-0.0362
0.1420	5.7494	-0.3445	1.7776	-0.2793	0.0028	-0.0044	-0.0167	-0.0007	0.0870	-0.1389	-0.5212	-0.0217
0.1750	5.7495	-0.3446	1.7773	-0.2793	0.0031	-0.0027	-0.0114	0.0003	0.0926	-0.0833	-0.3441	0.0103
0.2080	5.7499	-0.3448	1.7764	-0.2792	0.0087	-0.0054	-0.0203	0.0021	0.2640	-0.1634	-0.6159	0.0636
0.2420	5.7504	-0.3449	1.7754	-0.2790	0.0156	-0.0048	-0.0279	0.0048	0.4574	-0.1423	-0.8205	0.1406
0.2760	5.7508	-0.3450	1.7749	-0.2789	0.0098	-0.0018	-0.0154	0.0032	0.2885	-0.0522	-0.4543	0.0953
0.2790	5.7511	-0.3451	1.7743	-0.2788	0.0651	-0.0094	-0.0954	0.0224	21.7060	-3.1258	-31.7972	7.4745
0.2890	5.7514	-0.3451	1.7740	-0.2787	0.0210	-0.0026	-0.0310	0.0072	2.0991	-0.2590	-3.0960	0.7181
0.3180	5.7518	-0.3452	1.7734	-0.2785	0.0158	-0.0024	-0.0225	0.0054	0.5434	-0.0833	-0.7771	0.1863
0.3520	5.7528	-0.3454	1.7720	-0.2782	0.0299	-0.0054	-0.0414	0.0110	0.8785	-0.1591	-1.2173	0.3225
