t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
0.0000	0.9688	-5.0166	1.8643	1.6581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0090	0.9688	-5.0166	1.8643	1.6581	0.0007	-0.0003	0.0002	-0.0002	0.0781	-0.0294	0.0234	-0.0183
0.0180	0.9688	-5.0166	1.8643	1.6581	-0.0010	-0.0003	0.0003	-0.0000	-0.1111	-0.0325	0.0358	-0.0027
0.0280	0.9688	-5.0166	1.8643	1.6581	-0.0008	-0.0012	-0.0020	0.0005	-0.0822	-0.1165	-0.2013	0.0530
0.0390	0.9688	-5.0166	1.8643	1.6581	0.0002	-0.0003	-0.0005	-0.0004	0.0175	-0.0260	-0.0463	-0.0396
0.0480	0.9688	-5.0166	1.8643	1.6581	-0.0003	0.0003	0.0023	-0.0000	-0.0344	0.0336	0.2501	-0.0053
0.0590	0.9688	-5.0166	1.8643	1.6581	-0.0005	0.0003	0.0013	-0.0000	-0.0469	0.0287	0.1202	-0.0006
0.0680	0.9687	-5.0166	1.8643	1.6581	-0.0016	-0.0005	-0.0007	0.0000	-0.1787	-0.0601	-0.0817	0.0003
0.0790	0.9709	-5.0178	1.8646	1.6544	0.1964	-0.1106	0.0312	-0.3338	17.8587	-10.0574	2.8359	-30.3468
0.1150	1.0071	-5.0175	1.8661	1.6352	1.0046	0.0087	0.0397	-0.5341	27.9064	0.2411	1.1039	-14.8358
0.1600	1.2149	-4.9959	1.8675	1.5725	3.9115	0.4201	0.0201	-1.1412	86.9213	9.3358	0.4470	-25.3605
0.2080	1.2901	-4.9875	1.8663	1.5522	1.5671	0.1749	-0.0261	-0.4223	32.6471	3.6437	-0.5438	-8.7981
0.2550	1.4750	-4.9649	1.8584	1.5031	1.6002	0.2056	-0.0827	-0.4253	34.0468	4.3753	-1.7594	-9.0488
0.2630	1.6028	-4.9461	1.8504	1.4693	6.6276	1.0423	-0.4230	-1.7380	828.4524	130.2869	-52.8742	-217.2463
0.2690	1.6294	-4.9416	1.8488	1.4623	4.4312	0.7409	-0.2790	-1.1586	738.5331	123.4768	-46.4931	-193.1035
0.3060	1.7054	-4.9281	1.8438	1.4425	2.0532	0.3656	-0.1337	-0.5355	55.4929	9.8806	-3.6139	-14.4728
0.3550	1.8187	-4.9057	1.8363	1.4129	1.6154	0.3251	-0.1072	-0.4226	32.9664	6.6348	-2.1884	-8.6239
0.4010	2.1018	-4.8394	1.8148	1.3357	3.8517	0.9489	-0.2874	-1.0592	83.7336	20.6288	-6.2471	-23.0256
0.4450	2.1717	-4.8201	1.8098	1.3164	1.5889	0.4371	-0.1122	-0.4402	36.1110	9.9331	-2.5495	-10.0042
0.4500	2.2792	-4.7884	1.8025	1.2865	6.9158	2.0991	-0.4720	-1.9226	1383.1525	419.8244	-94.4042	-384.5148
0.4580	2.3102	-4.7787	1.8005	1.2778	3.8775	1.2081	-0.2559	-1.0795	484.6817	151.0121	-31.9819	-134.9347
0.5030	2.3783	-4.7567	1.7965	1.2587	1.5134	0.4891	-0.0876	-0.4253	33.6304	10.8683	-1.9461	-9.4510
0.5530	2.6125	-4.6740	1.7803	1.1925	3.3323	1.2015	-0.2388	-0.9441	66.6456	24.0306	-4.7755	-18.8820
0.6040	2.6454	-4.6613	1.7777	1.1831	0.6451	0.2473	-0.0499	-0.1838	12.6491	4.8487	-0.9782	-3.6040
