t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
0.0000	6.7521	-0.4002	0.2725	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0110	6.7521	-0.4002	0.2728	-0.0000	0.0040	0.0002	0.0294	-0.0001	0.3675	0.0186	2.6770	-0.0104
0.0210	6.7522	-0.4002	0.2731	-0.0000	0.0040	-0.0011	0.0282	-0.0001	0.4023	-0.1080	2.8222	-0.0057
0.0300	6.7522	-0.4002	0.2733	-0.0000	0.0042	0.0005	0.0288	-0.0001	0.4627	0.0600	3.2027	-0.0102
0.0400	6.7522	-0.4002	0.2736	-0.0000	0.0040	-0.0008	0.0279	-0.0000	0.3957	-0.0776	2.7883	-0.0036
0.0500	6.7523	-0.4002	0.2739	-0.0000	0.0036	-0.0005	0.0278	0.0000	0.3577	-0.0462	2.7810	0.0033
0.0600	6.7523	-0.4002	0.2742	-0.0000	0.0037	-0.0001	0.0284	-0.0002	0.3696	-0.0086	2.8427	-0.0195
0.0700	6.7524	-0.4002	0.2744	-0.0000	0.0040	0.0003	0.0268	-0.0001	0.3978	0.0318	2.6819	-0.0059
0.0810	6.7524	-0.4002	0.2747	-0.0000	0.0037	-0.0010	0.0279	-0.0000	0.3343	-0.0945	2.5372	-0.0013
0.1150	6.7525	-0.4003	0.2755	-0.0000	0.0032	-0.0008	0.0236	-0.0001	0.0952	-0.0222	0.6937	-0.0017
0.1520	6.7527	-0.4003	0.2767	-0.0000	0.0044	0.0003	0.0305	-0.0001	0.1178	0.0070	0.8233	-0.0019
0.1890	6.7528	-0.4003	0.2775	-0.0000	0.0029	-0.0002	0.0223	-0.0000	0.0777	-0.0051	0.6036	-0.0012
0.1900	6.7528	-0.4003	0.2777	-0.0000	0.0382	0.0099	0.2533	-0.0083	38.1696	9.9273	253.2898	-8.2517
0.2000	6.7529	-0.4003	0.2781	-0.0001	0.0092	0.0002	0.0322	-0.0063	0.9212	0.0200	3.2178	-0.6256
0.2350	6.7531	-0.4002	0.2784	-0.0002	0.0053	0.0005	0.0108	-0.0036	0.1502	0.0145	0.3078	-0.1020
0.2680	6.7544	-0.4002	0.2804	-0.0010	0.0176	-0.0004	0.0231	-0.0092	0.5325	-0.0112	0.7002	-0.2797
0.3020	6.7570	-0.4003	0.2837	-0.0022	0.0300	-0.0000	0.0397	-0.0137	0.8837	-0.0012	1.1670	-0.4018
0.3350	6.7665	-0.4003	0.2969	-0.0061	0.1664	-0.0014	0.2341	-0.0664	5.0422	-0.0412	7.0953	-2.0132
0.3400	6.7687	-0.4003	0.3000	-0.0069	0.4306	0.0014	0.6208	-0.1667	86.1215	0.2805	124.1642	-33.3476
0.3500	6.7710	-0.4004	0.3034	-0.0078	0.2311	-0.0026	0.3381	-0.0884	23.1089	-0.2550	33.8081	-8.8429
