t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
0.0000	1.7655	4.8376	1.8584	1.6581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	1.7655	4.8377	1.8584	1.6581	-0.0013	0.0035	-0.0015	-0.0001	-0.1337	0.3549	-0.1513	-0.0072
0.0200	1.7655	4.8377	1.8584	1.6581	-0.0007	0.0032	-0.0005	-0.0000	-0.0664	0.3177	-0.0456	-0.0002
0.0300	1.7655	4.8377	1.8584	1.6581	-0.0002	0.0026	0.0007	0.0000	-0.0227	0.2552	0.0705	0.0001
0.0400	1.7654	4.8378	1.8584	1.6581	-0.0024	0.0013	0.0010	0.0035	-0.2371	0.1309	0.0952	0.3550
0.0500	1.7654	4.8378	1.8584	1.6581	-0.0014	0.0051	0.0000	-0.0032	-0.1351	0.5078	0.0033	-0.3170
0.0600	1.7654	4.8378	1.8584	1.6581	-0.0009	0.0036	-0.0016	-0.0003	-0.0887	0.3584	-0.1579	-0.0342
0.0700	1.7654	4.8379	1.8584	1.6581	-0.0010	0.0036	-0.0010	-0.0000	-0.1029	0.3558	-0.0958	-0.0038
0.0800	1.7654	4.8379	1.8584	1.6581	-0.0012	0.0032	-0.0010	-0.0000	-0.1226	0.3232	-0.1037	-0.0003
0.1050	1.7654	4.8380	1.8584	1.6581	-0.0012	0.0025	0.0003	0.0001	-0.0473	0.0989	0.0128	0.0024
0.1330	1.7653	4.8380	1.8584	1.6581	-0.0011	0.0020	0.0007	-0.0001	-0.0395	0.0711	0.0235	-0.0019
0.1610	1.7653	4.8381	1.8585	1.6581	-0.0010	0.0029	0.0007	0.0000	-0.0352	0.1039	0.0243	0.0002
0.1850	1.7653	4.8382	1.8585	1.6581	-0.0011	0.0026	0.0008	-0.0000	-0.0453	0.1081	0.0332	-0.0004
0.1900	1.7653	4.8382	1.8585	1.6581	0.0005	0.0067	-0.0008	0.0017	0.1041	1.3347	-0.1672	0.3432
0.2000	1.7653	4.8383	1.8585	1.6581	0.0008	0.0038	0.0011	-0.0008	0.0847	0.3804	0.1062	-0.0770
0.2200	1.7653	4.8383	1.8586	1.6581	0.0016	0.0034	0.0044	-0.0000	0.0793	0.1708	0.2193	-0.0022
0.2500	1.7654	4.8385	1.8588	1.6581	0.0045	0.0047	0.0092	0.0004	0.1512	0.1574	0.3063	0.0120
0.2780	1.7655	4.8385	1.8590	1.6581	0.0034	0.0020	0.0050	-0.0003	0.1224	0.0706	0.1788	-0.0123
0.2800	1.7658	4.8387	1.8593	1.6581	0.0626	0.0303	0.0937	-0.0000	31.3028	15.1680	46.8629	-0.0155
0.2900	1.7659	4.8387	1.8596	1.6581	0.0132	0.0066	0.0223	-0.0000	1.3221	0.6578	2.2325	-0.0006
0.3120	1.7662	4.8389	1.8601	1.6580	0.0150	0.0079	0.0233	-0.0032	0.6796	0.3596	1.0607	-0.1435
0.3370	1.7667	4.8391	1.8607	1.6577	0.0178	0.0096	0.0250	-0.0103	0.7117	0.3838	1.0001	-0.4132
0.3620	1.7672	4.8394	1.8615	1.6573	0.0215	0.0098	0.0319	-0.0181	0.8606	0.3924	1.2766	-0.7246
0.3890	1.7678	4.8396	1.8625	1.6566	0.0115	0.0048	0.0190	-0.0129	0.4253	0.1778	0.7029	-0.4769
0.3900	1.7685	4.8399	1.8636	1.6558	0.3558	0.1315	0.5781	-0.4432	355.7542	131.5120	578.1092	-443.1753
0.4000	1.7689	4.8401	1.8642	1.6553	0.0377	0.0150	0.0576	-0.0491	3.7741	1.5026	5.7586	-4.9066
0.4250	1.7697	4.8403	1.8654	1.6542	0.0331	0.0112	0.0514	-0.0450	1.3225	0.4471	2.0564	-1.7998
0.4500	1.7710	4.8408	1.8676	1.6521	0.0547	0.0172	0.0870	-0.0817	2.1871	0.6882	3.4814	-3.2674
0.4750	1.7721	4.8410	1.8693	1.6505	0.0403	0.0110	0.0661	-0.0638	1.6117	0.4397	2.6441	-2.5512
0.4800	1.7726	4.8412	1.8702	1.6497	0.1037	0.0262	0.1817	-0.1734	20.7358	5.2383	36.3305	-34.6853
0.4900	1.7731	4.8413	1.8711	1.6488	0.0559	0.0142	0.0898	-0.0913	5.5932	1.4205	8.9797	-9.1257
0.5150	1.7743	4.8416	1.8730	1.6468	0.0480	0.0110	0.0757	-0.0784	1.9194	0.4388	3.0288	-3.1379
0.5420	1.7762	4.8420	1.8761	1.6435	0.0706	0.0143	0.1167	-0.1216	2.6151	0.5297	4.3206	-4.5037
0.5690	1.7769	4.8421	1.8773	1.6423	0.0244	0.0043	0.0429	-0.0439	0.9023	0.1601	1.5878	-1.6248
0.5700	1.7783	4.8424	1.8796	1.6398	0.7046	0.1289	1.1836	-1.2718	704.6084	128.8562	1183.5938	-1271.8303
0.5800	1.7790	4.8425	1.8808	1.6385	0.0721	0.0127	0.1217	-0.1316	7.2091	1.2709	12.1726	-13.1599
0.6050	1.7806	4.8427	1.8835	1.6356	0.0632	0.0104	0.1064	-0.1162	2.5297	0.4155	4.2542	-4.6483
