t	v_d	thd_d	v_a	thd_a	ur	ul
-0.0000	0.0000	0.0000	-0.0005	-0.0008	135.6003	-5.1979
0.0100	0.0000	0.0000	-0.0005	0.0005	-14.5121	154.5021
0.0200	0.0000	0.0000	0.0001	-0.0001	-22.8154	-5.1180
0.0300	0.0000	0.0000	0.0004	-0.0002	-55.3719	-44.7704
0.0400	0.0000	0.0000	0.0002	0.0002	-76.6563	35.0749
0.0510	0.0000	0.0000	0.0000	-0.0002	-10.0224	-0.7390
0.0600	0.0000	0.0000	0.0002	0.0008	-154.5590	116.3575
0.0710	0.0000	0.0000	0.0003	0.0001	-61.6924	1.2207
0.0810	0.0000	0.0000	0.0004	-0.0001	-70.7181	-22.2143
0.0900	0.0000	0.0000	-0.0001	0.0004	-57.3727	92.8581
0.1000	0.0000	0.0000	-0.0005	-0.0002	65.6265	64.3517
0.1100	0.0000	0.0000	-0.0002	-0.0007	83.1969	-31.0251
0.1200	0.0000	0.0000	0.0009	0.0001	-148.6969	-59.8291
0.1310	0.0000	0.0000	-0.0001	-0.0007	66.5147	-40.8203
0.1410	0.0000	0.0000	-0.0001	-0.0004	22.3569	-11.0193
0.1510	0.0000	0.0000	-0.0016	0.0009	74.8103	345.3946
0.1610	0.0000	0.0000	0.0004	0.0000	-83.0600	-14.5778
0.1690	0.0000	0.0000	0.0002	0.0001	-68.4353	15.1277
0.1810	0.0000	0.0000	0.0003	0.0006	-138.6490	66.2957
0.1900	0.0000	0.0000	-0.0000	-0.0002	-7.6548	13.4460
0.2000	0.0000	0.0000	-0.0001	0.0000	-18.7820	52.3830
0.2090	0.0000	0.0000	-0.0001	-0.0002	8.0369	13.6475
0.2190	0.0000	0.0000	0.0002	-0.0008	23.9611	-119.7560
0.2310	0.0000	0.0000	-0.0005	-0.0004	84.4113	34.0478
0.2400	0.0000	0.0000	-0.0003	-0.0010	131.0870	-61.2797
0.2500	0.0000	0.0000	-0.0002	0.0005	-67.8678	116.7720
0.2610	0.0000	0.0000	0.0006	0.0003	-137.4451	-10.1743
0.2700	0.0000	0.0000	0.0002	0.0004	-103.7605	62.9255
0.2800	0.0000	0.0000	-0.0002	-0.0007	78.9133	-40.5646
0.2900	0.0000	0.0000	-0.0001	0.0001	-31.9048	51.5168
0.3000	0.0000	0.0000	0.0005	-0.0002	-63.3070	-47.1423
0.3120	0.0000	0.0000	-0.0001	-0.0001	-2.8958	24.3860
0.3200	0.0000	0.0000	-0.0002	-0.0001	-0.9358	36.2304
0.3300	0.0000	0.0000	-0.0017	0.0007	106.4201	327.8431
0.3400	0.0000	0.0000	0.0004	0.0002	-97.2178	13.3313
0.3510	0.0000	0.0000	-0.0000	0.0001	-35.5353	43.6128
0.3610	0.0000	0.0000	-0.0006	0.0001	38.7579	107.3755
0.3710	0.0000	0.0000	0.0001	0.0004	-93.8433	73.7375
0.3800	0.0000	0.0000	0.0002	0.0003	-88.0885	51.1903
0.3910	0.0000	0.0000	-0.0003	0.0005	-57.3734	125.4914
0.4020	0.0000	0.0000	0.0003	0.0011	-212.1325	133.9786
0.4100	0.0000	0.0000	0.0003	0.0001	-70.3894	-5.2919
0.4210	0.0000	0.0000	-0.0002	-0.0005	58.4252	-5.6821
0.4300	0.0000	0.0000	-0.0003	0.0001	-10.2027	91.0234
0.4400	0.0000	0.0000	-0.0000	-0.0004	26.5964	-17.8073
0.4510	0.0000	0.0000	-0.0003	0.0001	-8.7149	74.9088
0.4610	0.0000	0.0000	0.0002	0.0000	-63.9268	10.3337
0.4720	0.0000	0.0000	0.0002	-0.0002	-30.1244	-20.2187
0.4800	0.0000	0.0000	-0.0001	-0.0004	28.2572	5.7034
0.4900	0.0000	0.0000	0.0001	0.0000	-42.6013	21.8000
0.5000	0.0000	0.0000	0.0002	-0.0001	-33.9093	-3.1038
0.5110	0.0000	0.0000	0.0003	-0.0001	-58.9674	-20.7666
0.5220	0.0000	0.0000	0.0002	-0.0002	-20.3482	-22.1836
0.5300	0.0000	0.0000	-0.0001	-0.0003	22.6166	-5.3651
0.5400	0.0000	0.0000	-0.0003	0.0000	0.9041	67.6180
0.5580	0.0000	0.0000	-0.0000	0.0001	-31.5014	36.5091
0.5600	0.0000	0.0000	0.0004	0.0001	-91.9500	-5.9846
0.5710	0.0000	0.0000	0.0001	0.0000	-48.7120	18.1407
0.5810	0.0000	0.0000	0.0002	-0.0004	-8.5106	-33.1094
0.5910	0.0000	0.0000	-0.0004	0.0001	-0.5560	88.3951
0.6010	0.0000	0.0000	-0.0001	-0.0016	179.9934	-155.4041
0.6110	0.0000	0.0000	0.0001	-0.0002	-17.9516	0.1918
0.6200	0.0000	0.0000	-0.0005	0.0001	12.4196	103.2344
0.6290	0.0000	0.0000	-0.0001	0.0004	-58.5593	92.7045
0.6420	0.0000	0.0000	0.0004	0.0006	-153.4158	52.0933
0.6500	0.0000	0.0000	-0.0003	0.0004	-58.9995	115.1782
0.6600	0.0000	0.0000	-0.0002	0.0001	-20.7471	63.8006
0.6710	0.0000	0.0000	0.0008	-0.0002	-92.9854	-93.2408
0.6800	0.0000	0.0000	0.0006	0.0003	-142.2665	-4.1613
0.6900	0.0000	0.0000	-0.0000	-0.0001	-16.1129	21.6983
0.7020	0.0000	0.0000	-0.0003	-0.0001	21.8215	51.6136
0.7110	0.0000	0.0000	0.0002	0.0001	-70.5964	15.6392
0.7210	0.0000	0.0000	-0.0001	-0.0001	-19.0304	31.9804
0.7320	0.0000	0.0000	0.0001	-0.0003	-3.0303	-13.5086
0.7400	0.0000	0.0000	0.0002	-0.0003	-28.6928	-24.3929
0.7510	0.0000	0.0000	-0.0002	-0.0000	-2.7443	63.2205
0.7600	0.0000	0.0000	-0.0003	-0.0003	33.2938	37.3961
0.7720	0.0000	0.0000	0.0005	0.0008	-191.6138	82.0078
0.7810	0.0000	0.0000	-0.0000	-0.0008	66.8378	-58.1768
0.7910	0.0000	0.0000	0.0000	0.0000	-36.4804	32.8790
0.8010	0.0000	0.0000	-0.0006	-0.0000	46.1407	96.5609
0.8110	0.0000	0.0000	0.0001	0.0001	-59.5490	36.1687
0.8200	0.0000	0.0000	0.0001	-0.0003	3.5340	-22.8156
0.8300	0.0000	0.0000	0.0001	0.0003	-75.6455	61.6383
0.8400	0.0000	0.0000	0.0003	-0.0002	-38.6780	-34.6848
0.8500	0.0000	0.0000	-0.0001	-0.0003	21.2199	8.6763
0.8620	0.0000	0.0000	0.0002	0.0001	-65.3708	14.0829
0.8710	0.0000	0.0000	-0.0001	0.0001	-28.8956	61.9400
0.8800	0.0000	0.0000	-0.0001	-0.0002	16.6147	10.0730
0.8910	0.0000	0.0000	-0.0002	0.0006	-74.4413	118.5298
0.9000	0.0000	0.0000	0.0001	0.0004	-90.5498	69.9540
0.9100	0.0000	0.0000	0.0002	-0.0006	16.1551	-65.4381
0.9200	0.0000	0.0000	-0.0001	-0.0008	85.0465	-49.7101
0.9320	0.0000	0.0000	-0.0002	-0.0002	14.6171	37.1654
0.9400	0.0000	0.0000	0.0000	0.0000	-41.2535	28.9136
0.9500	0.0000	0.0000	-0.0003	0.0001	-8.0169	73.9091
0.9600	0.0000	0.0000	0.0001	-0.0003	-5.2016	-24.8785
