t	v_d	thd_d	v_a	thd_a	ur	ul
-0.0000	0.0000	0.0000	-0.0001	0.0000	-56.2987	68.3577
0.0130	0.0000	0.0000	0.0006	-0.0009	-27.1550	-130.1704
0.0200	0.0000	0.0000	-0.0004	0.0002	-29.1441	136.2623
0.0310	0.0000	0.0000	0.0005	-0.0005	-51.9098	-65.7504
0.0400	0.0000	0.0000	0.0001	-0.0004	-29.0843	-1.5525
0.0500	0.0000	0.0000	0.0001	0.0008	-166.2455	148.4622
0.0600	0.0000	0.0000	0.0002	-0.0005	-21.0851	-24.3360
0.0700	0.0000	0.0000	-0.0000	-0.0001	-38.1594	52.7990
0.0810	0.0000	0.0000	0.0003	-0.0005	-20.4529	-40.3613
0.0900	0.0000	0.0000	-0.0004	0.0002	-44.8663	139.0182
0.1000	0.0000	0.0000	0.0002	-0.0002	-75.3241	-0.4623
0.1100	0.0000	0.0000	0.0003	0.0000	-96.3505	38.8688
0.1180	0.0000	0.0000	0.0006	-0.0005	-64.6972	-89.7935
0.1310	0.0000	0.0000	0.0005	0.0012	-267.7544	152.5379
0.1390	0.0000	0.0000	0.0003	0.0000	-96.6821	23.8199
0.1490	0.0000	0.0000	-0.0003	-0.0002	4.3826	69.5825
0.1610	0.0000	0.0000	0.0001	0.0004	-116.7526	92.6884
0.1700	0.0000	0.0000	-0.0005	0.0003	-31.0762	143.4862
0.1800	0.0000	0.0000	0.0003	0.0001	-101.4779	41.7376
0.1900	0.0000	0.0000	0.0001	0.0005	-125.1853	109.9866
0.2020	0.0000	0.0000	0.0002	-0.0003	-47.0589	-0.8551
0.2120	0.0000	0.0000	0.0004	-0.0003	-62.1323	-40.3436
0.2210	0.0000	0.0000	0.0002	0.0003	-117.6933	63.9224
0.2300	0.0000	0.0000	-0.0002	0.0004	-78.1331	133.0271
0.2410	0.0000	0.0000	0.0001	0.0006	-142.2028	112.6499
0.2500	0.0000	0.0000	0.0003	-0.0002	-70.2148	-3.1426
0.2660	0.0000	0.0000	-0.0005	-0.0006	77.5821	39.8965
0.2660	0.0000	0.0000	0.0001	0.0000	-71.0971	53.5614
0.2800	0.0000	0.0000	0.0003	0.0004	-144.6725	80.8504
0.2900	0.0000	0.0000	-0.0000	-0.0007	27.1036	-19.3666
0.3010	0.0000	0.0000	-0.0001	0.0000	-50.9034	88.6431
0.3100	0.0000	0.0000	-0.0004	-0.0004	41.7827	47.8953
0.3200	0.0000	0.0000	0.0004	0.0000	-108.1624	26.5642
0.3300	0.0000	0.0000	-0.0002	-0.0001	-16.3363	66.4901
0.3400	0.0000	0.0000	-0.0005	-0.0003	32.3176	81.1805
0.3500	0.0000	0.0000	0.0003	-0.0002	-86.1797	-20.6844
0.3600	0.0000	0.0000	0.0002	0.0003	-116.3226	76.7645
0.3700	0.0000	0.0000	0.0001	0.0001	-87.6054	59.5628
0.3820	0.0000	0.0000	0.0000	-0.0000	-57.8290	48.3114
0.3900	0.0000	0.0000	0.0001	0.0008	-167.6391	149.2029
0.4000	0.0000	0.0000	-0.0002	-0.0001	-18.1291	70.3391
0.4100	0.0000	0.0000	0.0000	-0.0001	-51.4964	49.5507
0.4210	0.0000	0.0000	0.0002	-0.0002	-73.9363	1.7270
0.4310	0.0000	0.0000	-0.0004	-0.0005	46.5212	52.1914
0.4410	0.0000	0.0000	0.0001	0.0003	-117.8236	87.9734
0.4510	0.0000	0.0000	-0.0001	-0.0001	-36.1705	56.9831
0.4610	0.0000	0.0000	0.0004	0.0003	-134.7551	52.3620
0.4700	0.0000	0.0000	0.0003	0.0002	-121.4405	49.0804
0.4800	0.0000	0.0000	-0.0002	0.0003	-69.8192	117.2817
0.4930	0.0000	0.0000	0.0002	-0.0003	-49.0243	0.2715
0.5030	0.0000	0.0000	0.0003	-0.0004	-39.2206	-28.3166
0.5100	0.0000	0.0000	-0.0000	0.0003	-88.5295	94.2616
0.5210	0.0000	0.0000	0.0003	0.0001	-126.9208	27.0092
0.5300	0.0000	0.0000	-0.0000	-0.0002	-27.9221	37.6534
0.5420	0.0000	0.0000	0.0001	-0.0007	28.5705	-39.0787
0.5500	0.0000	0.0000	0.0001	-0.0005	-7.9651	-4.4938
0.5610	0.0000	0.0000	0.0002	0.0006	-161.1957	105.6588
0.5700	0.0000	0.0000	-0.0000	0.0005	-119.1439	126.5692
0.5800	0.0000	0.0000	0.0002	0.0002	-106.8815	56.8240
0.5930	0.0000	0.0000	-0.0013	0.0001	104.0371	239.1259
0.6010	0.0000	0.0000	0.0006	0.0004	-179.2812	43.2389
0.6110	0.0000	0.0000	-0.0001	0.0004	-99.5601	117.7271
0.6260	0.0000	0.0000	-0.0001	-0.0005	3.6811	3.7282
0.6380	0.0000	0.0000	-0.0002	-0.0006	33.3533	11.0256
0.6430	0.0000	0.0000	0.0002	-0.0005	-27.0959	-22.7970
0.6510	0.0000	0.0000	0.0000	0.0003	-97.0058	97.4866
0.6610	0.0000	0.0000	-0.0005	0.0003	-34.8640	158.4812
0.6720	0.0000	0.0000	0.0002	-0.0003	-48.7131	8.0729
0.6820	0.0000	0.0000	-0.0000	0.0002	-81.2641	89.3628
0.6960	0.0000	0.0000	0.0001	0.0002	-89.2948	68.8647
0.7010	0.0000	0.0000	0.0008	-0.0002	-127.4981	-65.0525
0.7100	0.0000	0.0000	-0.0005	-0.0007	81.6003	37.2589
0.7210	0.0000	0.0000	-0.0001	0.0002	-74.1341	91.8967
0.7320	0.0000	0.0000	0.0003	-0.0002	-73.3265	0.4534
0.7410	0.0000	0.0000	0.0006	0.0008	-219.5746	79.5270
0.7510	0.0000	0.0000	-0.0003	-0.0006	50.9821	17.0885
0.7600	0.0000	0.0000	0.0003	-0.0002	-66.4101	-3.0251
0.7700	0.0000	0.0000	0.0005	-0.0008	-23.7307	-94.9657
0.7810	0.0000	0.0000	0.0003	0.0004	-150.6285	68.3468
0.7910	0.0000	0.0000	0.0006	0.0005	-195.9983	50.6587
0.8010	0.0000	0.0000	-0.0003	-0.0002	1.3593	64.9809
0.8100	0.0000	0.0000	0.0004	0.0009	-212.9555	126.3631
0.8230	0.0000	0.0000	-0.0002	-0.0001	-28.9118	69.1616
0.8310	0.0000	0.0000	-0.0002	0.0005	-96.0942	134.5648
0.8420	0.0000	0.0000	0.0004	0.0004	-147.3047	58.8829
0.8500	0.0000	0.0000	0.0002	0.0005	-150.4817	96.9634
0.8610	0.0000	0.0000	0.0002	-0.0002	-62.1398	25.1081
0.8700	0.0000	0.0000	0.0003	0.0002	-116.8439	46.0198
0.8820	0.0000	0.0000	0.0001	0.0002	-78.5398	67.4048
0.8900	0.0000	0.0000	0.0002	-0.0005	-30.4588	-31.9070
0.9000	0.0000	0.0000	0.0001	0.0001	-84.1893	72.9837
0.9110	0.0000	0.0000	-0.0004	-0.0006	62.9255	32.6564
0.9250	0.0000	0.0000	0.0002	-0.0002	-64.2553	-6.5290
0.9330	0.0000	0.0000	0.0000	0.0002	-85.1934	88.1950
0.9460	0.0000	0.0000	0.0000	0.0001	-74.3153	71.2098
0.9600	0.0000	0.0000	-0.0003	-0.0008	62.8204	-1.7934
0.9600	0.0000	0.0000	0.0001	-0.0004	-18.8990	-2.4631
0.9710	0.0000	0.0000	-0.0003	-0.0005	35.6071	31.1696
0.9800	0.0000	0.0000	-0.0005	0.0005	-54.8787	168.6473
0.9900	0.0000	0.0000	-0.0002	0.0001	-42.8224	85.3901
1.0000	0.0000	0.0000	0.0001	-0.0006	3.1334	-26.7040
1.0100	0.0000	0.0000	0.0000	0.0002	-82.0993	85.2787
1.0200	0.0000	0.0000	-0.0001	-0.0003	-8.7942	32.1313
1.0310	0.0000	0.0000	0.0000	0.0001	-73.6540	70.6195
1.0400	0.0000	0.0000	0.0002	-0.0003	-42.3539	-0.5580
1.0530	0.0000	0.0000	0.0001	0.0002	-96.8305	76.5300
1.0610	0.0000	0.0000	0.0004	0.0003	-136.6105	45.9438
1.0700	0.0000	0.0000	0.0005	0.0004	-169.3052	38.9422
1.0820	0.0000	0.0000	0.0000	0.0007	-143.7017	145.1383
