t	x_ekf	y_ekf	th_ekf
-0.0000	0.0001	-2.0000	0.0003
0.0320	0.0001	-2.0000	0.0003
0.1010	0.0001	-2.0000	0.0003
0.1690	0.0001	-2.0000	0.0003
0.2320	0.0001	-2.0000	0.0003
0.2690	0.0000	-2.0000	0.0003
0.2990	0.0000	-2.0000	0.0003
0.3360	0.0001	-2.0000	0.0003
0.3980	0.0001	-2.0000	0.0003
0.4680	0.0001	-2.0000	0.0003
0.5370	0.0001	-2.0000	0.0003
0.5950	0.0001	-2.0000	0.0003
0.6330	0.0001	-2.0000	0.0003
0.6980	0.0001	-2.0000	0.0003
0.7370	0.0001	-2.0000	0.0003
0.7990	0.0001	-2.0000	0.0003
0.8680	0.0001	-2.0000	0.0003
0.9360	0.0001	-2.0000	0.0003
0.9980	0.0001	-2.0000	0.0003
1.0660	0.0001	-2.0000	0.0003
1.1000	0.0001	-2.0000	0.0003
1.1310	0.0001	-2.0000	0.0003
1.1990	0.0001	-2.0000	0.0003
1.2340	0.0001	-2.0000	0.0003
1.3000	0.0001	-2.0000	0.0003
1.3350	0.0001	-2.0000	0.0003
1.4000	0.0001	-2.0000	0.0003
1.4690	0.0001	-2.0000	0.0003
1.5010	0.0001	-2.0000	0.0003
1.5330	0.0001	-2.0000	0.0003
1.5670	0.0001	-2.0000	0.0003
1.6350	0.0001	-2.0000	0.0003
1.6680	0.0001	-2.0000	0.0002
1.7010	0.0001	-2.0000	0.0002
1.7330	0.0001	-2.0000	0.0002
1.7680	0.0001	-2.0000	0.0002
1.8330	0.0001	-2.0000	0.0003
1.8990	0.0001	-2.0000	0.0003
1.9680	0.0001	-2.0000	0.0003
2.0000	0.0001	-2.0000	0.0003
2.0350	0.0001	-2.0000	0.0003
2.0670	0.0206	-2.0000	0.0003
2.1320	0.0702	-2.0000	0.0004
2.2000	0.1301	-2.0000	0.0010
2.2330	0.1701	-1.9999	0.0022
2.2680	0.1902	-1.9999	0.0031
2.3010	0.2304	-1.9998	0.0056
2.3680	0.2808	-1.9995	0.0097
2.4370	0.3324	-1.9990	0.0147
2.4640	0.3863	-1.9981	0.0201
2.5350	0.4533	-1.9966	0.0269
2.5650	0.4875	-1.9957	0.0304
2.6350	0.5335	-1.9942	0.0348
2.6670	0.5909	-1.9921	0.0385
2.7340	0.6591	-1.9894	0.0412
2.7680	0.7041	-1.9875	0.0421
2.8350	0.7604	-1.9851	0.0427
2.8680	0.8055	-1.9832	0.0428
2.9010	0.8279	-1.9822	0.0427
2.9340	0.8728	-1.9803	0.0426
3.0000	0.9178	-1.9784	0.0426
3.0270	0.9630	-1.9765	0.0427
3.0680	0.9855	-1.9755	0.0427
3.1010	1.0081	-1.9746	0.0427
3.1360	1.0532	-1.9726	0.0427
3.1680	1.0983	-1.9707	0.0427
3.2000	1.1433	-1.9688	0.0427
3.2680	1.1883	-1.9669	0.0427
3.3020	1.2445	-1.9645	0.0427
3.3650	1.3006	-1.9621	0.0427
3.4340	1.3562	-1.9597	0.0427
3.4670	1.4116	-1.9573	0.0427
3.5320	1.4780	-1.9545	0.0427
3.6030	1.5332	-1.9521	0.0427
3.6680	1.5885	-1.9498	0.0427
3.7010	1.6548	-1.9469	0.0426
3.7690	1.6990	-1.9450	0.0426
3.8010	1.7432	-1.9432	0.0426
3.8340	1.7874	-1.9413	0.0426
3.8680	1.7984	-1.9408	0.0426
3.8990	1.8316	-1.9394	0.0426
3.9350	1.8757	-1.9375	0.0426
3.9990	1.9199	-1.9356	0.0426
4.0370	1.9751	-1.9333	0.0425
4.0680	2.0082	-1.9319	0.0425
