t	x_odom	y_odom	th_odom
0.0000	-0.0000	-2.0000	0.0003
0.0110	-0.0000	-2.0000	0.0003
0.0210	-0.0000	-2.0000	0.0003
0.0320	-0.0000	-2.0000	0.0003
0.0430	-0.0000	-2.0000	0.0003
0.0990	-0.0000	-2.0000	0.0003
0.0990	-0.0000	-2.0000	0.0003
0.1560	-0.0000	-2.0000	0.0003
0.1560	-0.0000	-2.0000	0.0003
0.1560	-0.0000	-2.0000	0.0003
0.2100	-0.0000	-2.0000	0.0003
0.2100	-0.0000	-2.0000	0.0003
0.2100	-0.0000	-2.0000	0.0003
0.2190	-0.0000	-2.0000	0.0003
0.2300	-0.0000	-2.0000	0.0003
0.2850	-0.0000	-2.0000	0.0003
0.2850	-0.0000	-2.0000	0.0003
0.3450	-0.0000	-2.0000	0.0003
0.3450	-0.0000	-2.0000	0.0003
0.3450	-0.0000	-2.0000	0.0004
0.3450	-0.0000	-2.0000	0.0004
0.3450	-0.0000	-2.0000	0.0003
0.3450	-0.0000	-2.0000	0.0003
0.4030	-0.0000	-2.0000	0.0003
0.4030	-0.0000	-2.0000	0.0003
0.4030	-0.0000	-2.0000	0.0003
0.4030	-0.0000	-2.0000	0.0003
0.4030	-0.0000	-2.0000	0.0003
0.4060	-0.0000	-2.0000	0.0003
0.4160	-0.0000	-2.0000	0.0003
0.4720	-0.0000	-2.0000	0.0003
0.4720	-0.0000	-2.0000	0.0003
0.4720	-0.0000	-2.0000	0.0003
0.4720	-0.0000	-2.0000	0.0003
0.5280	0.0000	-2.0000	0.0003
0.5280	-0.0000	-2.0000	0.0003
0.5910	-0.0000	-2.0000	0.0004
0.5910	-0.0000	-2.0000	0.0004
0.5910	0.0000	-2.0000	0.0004
0.5910	0.0000	-2.0000	0.0003
0.6030	0.0000	-2.0000	0.0003
0.6610	0.0000	-2.0000	0.0003
0.6610	0.0000	-2.0000	0.0003
0.6610	-0.0000	-2.0000	0.0003
0.6610	-0.0000	-2.0000	0.0003
0.6610	-0.0000	-2.0000	0.0003
0.7120	-0.0000	-2.0000	0.0003
0.7120	-0.0000	-2.0000	0.0003
0.7120	-0.0000	-2.0000	0.0003
0.7120	-0.0000	-2.0000	0.0003
0.7120	-0.0000	-2.0000	0.0003
0.7250	-0.0000	-2.0000	0.0003
0.7660	-0.0000	-2.0000	0.0003
0.8200	0.0000	-2.0000	0.0003
0.8200	0.0000	-2.0000	0.0003
0.8760	0.0000	-2.0000	0.0003
0.8760	-0.0000	-2.0000	0.0003
0.8760	-0.0000	-2.0000	0.0003
0.8760	-0.0000	-2.0000	0.0003
0.8760	-0.0000	-2.0000	0.0003
0.9350	-0.0000	-2.0000	0.0003
0.9350	-0.0000	-2.0000	0.0003
0.9350	-0.0000	-2.0000	0.0003
0.9350	0.0000	-2.0000	0.0003
0.9350	0.0000	-2.0000	0.0003
0.9350	0.0000	-2.0000	0.0003
0.9940	-0.0000	-2.0000	0.0003
1.0000	0.0000	-2.0000	0.0003
1.0100	-0.0000	-2.0000	0.0003
1.0640	0.0000	-2.0000	0.0003
1.0640	-0.0000	-2.0000	0.0003
1.1220	0.0000	-2.0000	0.0003
1.1220	0.0000	-2.0000	0.0003
1.1220	0.0000	-2.0000	0.0003
1.1830	0.0000	-2.0000	0.0003
1.1830	-0.0000	-2.0000	0.0003
1.1830	-0.0000	-2.0000	0.0003
1.1830	0.0000	-2.0000	0.0003
1.1860	0.0000	-2.0000	0.0003
1.1980	0.0000	-2.0000	0.0003
1.2490	-0.0000	-2.0000	0.0003
1.2490	0.0000	-2.0000	0.0003
1.2490	0.0000	-2.0000	0.0003
1.2490	0.0000	-2.0000	0.0003
1.3090	0.0000	-2.0000	0.0003
1.3090	0.0000	-2.0000	0.0003
1.3090	0.0000	-2.0000	0.0003
1.3090	0.0000	-2.0000	0.0003
1.3640	0.0000	-2.0000	0.0003
1.3640	-0.0000	-2.0000	0.0003
1.3640	-0.0000	-2.0000	0.0003
1.3750	0.0000	-2.0000	0.0003
1.3840	0.0000	-2.0000	0.0003
1.4380	0.0000	-2.0000	0.0003
1.4380	-0.0000	-2.0000	0.0003
1.4900	0.0000	-2.0000	0.0003
1.4900	-0.0000	-2.0000	0.0003
1.5500	-0.0000	-2.0000	0.0003
1.5500	-0.0000	-2.0000	0.0003
1.5500	-0.0000	-2.0000	0.0003
1.5500	-0.0000	-2.0000	0.0003
1.5500	0.0000	-2.0000	0.0003
1.5970	0.0000	-2.0000	0.0003
1.5970	0.0000	-2.0000	0.0003
1.5970	0.0000	-2.0000	0.0003
1.5970	0.0000	-2.0000	0.0003
1.5970	0.0000	-2.0000	0.0003
1.6430	-0.0000	-2.0000	0.0003
1.6430	-0.0000	-2.0000	0.0003
1.6440	0.0000	-2.0000	0.0003
1.6590	0.0000	-2.0000	0.0003
1.7030	0.0000	-2.0000	0.0003
1.7030	-0.0000	-2.0000	0.0003
1.7540	-0.0000	-2.0000	0.0003
1.8000	-0.0000	-2.0000	0.0003
1.8000	-0.0000	-2.0000	0.0003
1.8480	0.0000	-2.0000	0.0003
1.8480	0.0000	-2.0000	0.0003
1.9010	0.0000	-2.0000	0.0003
1.9010	-0.0000	-2.0000	0.0003
1.9010	0.0000	-2.0000	0.0003
1.9010	-0.0000	-2.0000	0.0003
1.9020	-0.0000	-2.0000	0.0003
1.9110	-0.0000	-2.0000	0.0003
1.9710	-0.0000	-2.0000	0.0003
1.9710	-0.0000	-2.0000	0.0003
1.9710	-0.0000	-2.0000	0.0003
1.9710	-0.0000	-2.0000	0.0003
1.9710	-0.0000	-2.0000	0.0003
2.0290	-0.0000	-2.0000	0.0003
2.0290	-0.0000	-2.0000	0.0003
2.0290	-0.0000	-2.0000	0.0003
2.0290	-0.0000	-2.0000	0.0003
2.0290	-0.0000	-2.0000	0.0003
2.0880	-0.0000	-2.0000	0.0003
2.0880	0.0000	-2.0000	0.0003
2.1450	-0.0000	-2.0000	0.0003
2.1450	0.0000	-2.0000	0.0003
2.1450	0.0000	-2.0000	0.0003
2.1450	0.0000	-2.0000	0.0003
2.1450	0.0000	-2.0000	0.0003
2.1450	0.0000	-2.0000	0.0003
2.2030	-0.0000	-2.0000	0.0003
2.2030	0.0008	-2.0000	0.0003
2.2030	0.0106	-2.0000	0.0003
2.2030	0.0205	-2.0000	0.0003
2.2030	0.0304	-2.0000	0.0003
2.2060	0.0403	-2.0000	0.0003
2.2210	0.0503	-2.0000	0.0003
2.2780	0.0602	-2.0000	0.0002
2.2780	0.0702	-2.0000	0.0001
2.2780	0.0801	-2.0000	0.0001
2.2780	0.0901	-2.0000	0.0001
2.2780	0.1000	-2.0000	0.0001
2.3370	0.1300	-2.0000	0.0001
2.3370	0.1500	-2.0000	0.0000
2.3860	0.1700	-2.0000	0.0001
2.3860	0.1901	-2.0000	0.0002
2.3860	0.2001	-2.0000	0.0001
