t	x_odom	y_odom	th_odom
-0.0000	0.0000	-2.0000	0.0002
0.0140	0.0000	-2.0000	0.0002
0.0210	0.0000	-2.0000	0.0002
0.0320	0.0000	-2.0000	0.0002
0.0430	0.0000	-2.0000	0.0002
0.0890	0.0000	-2.0000	0.0002
0.0890	0.0000	-2.0000	0.0002
0.0890	0.0000	-2.0000	0.0002
0.1440	-0.0000	-2.0000	0.0003
0.1920	-0.0000	-2.0000	0.0003
0.1920	-0.0000	-2.0000	0.0003
0.1970	0.0000	-2.0000	0.0003
0.2080	-0.0000	-2.0000	0.0003
0.2640	-0.0000	-2.0000	0.0003
0.2640	0.0000	-2.0000	0.0003
0.3140	-0.0000	-2.0000	0.0003
0.3140	-0.0000	-2.0000	0.0003
0.3190	-0.0000	-2.0000	0.0003
0.3290	0.0000	-2.0000	0.0003
0.3770	-0.0000	-2.0000	0.0003
0.4210	-0.0000	-2.0000	0.0003
0.4210	-0.0000	-2.0000	0.0003
0.4650	-0.0000	-2.0000	0.0003
0.4650	-0.0000	-2.0000	0.0003
0.4650	0.0000	-2.0000	0.0003
0.5120	0.0000	-2.0000	0.0003
0.5120	0.0000	-2.0000	0.0003
0.5120	0.0000	-2.0000	0.0003
0.5120	0.0000	-2.0000	0.0003
0.5600	-0.0000	-2.0000	0.0003
0.5600	-0.0000	-2.0000	0.0003
0.5600	-0.0000	-2.0000	0.0003
0.5600	0.0000	-2.0000	0.0003
0.5600	-0.0000	-2.0000	0.0003
0.6080	-0.0000	-2.0000	0.0003
0.6150	0.0000	-2.0000	0.0003
0.6260	0.0000	-2.0000	0.0003
0.6770	-0.0000	-2.0000	0.0003
0.6770	-0.0000	-2.0000	0.0003
0.7210	0.0000	-2.0000	0.0003
0.7210	-0.0000	-2.0000	0.0003
0.7690	0.0000	-2.0000	0.0003
0.8240	0.0000	-2.0000	0.0003
0.8240	-0.0000	-2.0000	0.0003
0.8800	-0.0000	-2.0000	0.0003
0.9250	-0.0000	-2.0000	0.0003
0.9250	-0.0000	-2.0000	0.0003
0.9250	0.0000	-2.0000	0.0003
0.9350	-0.0000	-2.0000	0.0003
0.9580	0.0000	-2.0000	0.0002
1.0100	0.0000	-2.0000	0.0002
1.0100	0.0000	-2.0000	0.0002
1.0100	0.0000	-2.0000	0.0002
1.0100	0.0000	-2.0000	0.0002
1.0100	-0.0000	-2.0000	0.0002
1.0600	-0.0000	-2.0000	0.0002
1.0600	-0.0000	-2.0000	0.0002
1.1040	-0.0000	-2.0000	0.0003
1.1040	-0.0000	-2.0000	0.0003
