t	x_truth	y_truth	th_truth
0.0000	-0.0002	-1.9999	0.0003
0.0090	-0.0002	-1.9999	0.0003
0.0180	-0.0002	-1.9999	0.0003
0.0280	-0.0002	-1.9999	0.0003
0.0390	-0.0002	-1.9999	0.0003
0.0930	-0.0002	-1.9999	0.0003
0.1520	-0.0002	-1.9999	0.0003
0.2090	-0.0002	-1.9999	0.0003
0.2690	-0.0002	-1.9999	0.0003
0.2690	-0.0002	-1.9999	0.0003
0.2690	-0.0002	-1.9999	0.0003
0.2690	-0.0002	-1.9999	0.0003
0.2690	-0.0002	-1.9999	0.0003
0.2690	-0.0002	-1.9999	0.0003
0.3290	-0.0002	-1.9999	0.0003
0.3290	-0.0002	-1.9999	0.0003
0.3290	-0.0002	-1.9999	0.0003
0.3290	-0.0002	-1.9999	0.0003
0.3290	-0.0002	-1.9999	0.0003
0.3870	-0.0002	-1.9999	0.0003
0.3870	-0.0002	-1.9999	0.0003
0.3870	-0.0002	-1.9999	0.0003
0.3890	-0.0002	-1.9999	0.0003
0.3980	-0.0002	-1.9999	0.0003
0.4430	-0.0002	-1.9999	0.0003
0.4430	-0.0002	-1.9999	0.0003
0.4750	-0.0002	-1.9999	0.0003
0.4750	-0.0002	-1.9999	0.0003
0.4780	-0.0002	-1.9999	0.0003
0.4890	-0.0002	-1.9999	0.0003
0.5410	-0.0002	-1.9999	0.0003
0.5950	-0.0002	-2.0000	0.0003
0.6520	-0.0002	-2.0000	0.0003
0.7110	-0.0002	-1.9999	0.0003
0.7710	-0.0002	-1.9999	0.0003
0.8300	-0.0002	-1.9999	0.0003
0.8300	-0.0002	-1.9999	0.0003
0.8300	-0.0002	-1.9999	0.0003
0.8300	-0.0002	-1.9999	0.0003
0.8300	-0.0002	-1.9999	0.0003
0.8300	-0.0002	-1.9999	0.0003
0.8920	-0.0002	-1.9999	0.0003
0.8920	-0.0002	-1.9999	0.0003
0.8920	-0.0002	-1.9999	0.0003
0.8920	-0.0002	-1.9999	0.0003
0.8920	-0.0002	-1.9999	0.0003
0.8920	-0.0002	-1.9999	0.0003
0.9470	-0.0002	-1.9999	0.0003
0.9490	-0.0002	-1.9999	0.0003
0.9580	-0.0002	-1.9999	0.0003
1.0130	-0.0002	-1.9999	0.0003
1.0130	-0.0002	-1.9999	0.0003
1.0130	-0.0002	-2.0000	0.0003
1.0660	-0.0002	-1.9999	0.0003
1.1180	-0.0002	-1.9999	0.0003
1.1180	-0.0002	-1.9999	0.0003
1.1180	-0.0002	-1.9999	0.0003
1.1180	-0.0002	-1.9999	0.0003
1.1180	-0.0002	-1.9999	0.0003
1.1180	-0.0002	-1.9999	0.0003
1.1720	-0.0002	-1.9999	0.0003
1.1720	-0.0002	-1.9999	0.0003
1.1720	-0.0002	-1.9999	0.0003
1.1720	-0.0002	-1.9999	0.0003
1.1720	-0.0002	-1.9999	0.0003
1.1780	-0.0002	-1.9999	0.0003
1.1880	-0.0002	-1.9999	0.0003
1.2380	-0.0002	-1.9999	0.0003
1.2380	-0.0002	-1.9999	0.0003
1.2380	-0.0002	-1.9999	0.0003
1.2950	-0.0002	-1.9999	0.0003
1.2950	-0.0002	-1.9999	0.0003
1.3350	-0.0002	-1.9999	0.0003
1.3350	-0.0002	-1.9999	0.0003
1.3350	-0.0002	-1.9999	0.0003
1.3350	-0.0002	-1.9999	0.0003
1.3400	-0.0002	-1.9999	0.0003
1.3480	-0.0002	-1.9999	0.0003
1.3920	-0.0002	-1.9999	0.0003
1.3920	-0.0002	-1.9999	0.0003
1.3920	-0.0002	-1.9999	0.0003
1.4420	-0.0002	-1.9999	0.0003
1.4420	-0.0002	-1.9999	0.0003
1.4910	-0.0002	-1.9999	0.0003
1.4910	-0.0002	-1.9999	0.0003
1.4910	-0.0002	-1.9999	0.0003
1.5350	-0.0002	-1.9999	0.0002
1.5350	-0.0002	-1.9999	0.0002
1.5400	-0.0002	-1.9999	0.0002
1.5490	-0.0002	-1.9999	0.0002
1.5960	-0.0002	-1.9999	0.0002
1.5960	-0.0002	-1.9999	0.0002
1.6480	-0.0002	-1.9999	0.0002
1.6480	-0.0002	-1.9999	0.0002
1.6480	-0.0002	-1.9999	0.0002
1.7080	-0.0002	-1.9999	0.0002
1.7080	-0.0002	-1.9999	0.0003
1.7080	-0.0002	-1.9999	0.0003
1.7670	-0.0002	-1.9999	0.0003
1.7670	-0.0002	-1.9999	0.0003
1.7670	-0.0002	-1.9999	0.0003
1.7690	-0.0002	-1.9999	0.0003
1.7780	-0.0002	-1.9999	0.0003
1.8290	-0.0002	-1.9999	0.0003
1.8290	-0.0002	-1.9999	0.0003
1.8290	-0.0002	-1.9999	0.0003
1.8890	-0.0002	-1.9999	0.0003
1.8890	-0.0002	-1.9999	0.0003
1.9460	0.0004	-1.9999	0.0003
1.9460	0.0020	-1.9998	0.0003
1.9490	0.0032	-1.9998	0.0003
1.9580	0.0046	-1.9997	0.0004
2.0090	0.0063	-1.9996	0.0004
2.0090	0.0082	-1.9996	0.0004
2.0090	0.0104	-1.9995	0.0005
2.0090	0.0128	-1.9994	0.0006
2.0090	0.0155	-1.9993	0.0006
2.0680	0.0285	-1.9984	0.0012
2.0680	0.0365	-1.9977	0.0016
2.1170	0.0503	-1.9960	0.0027
2.1170	0.0554	-1.9953	0.0031
2.1180	0.0608	-1.9945	0.0036
2.1280	0.0663	-1.9936	0.0042
2.1790	0.0978	-1.9884	0.0074
2.2350	0.1048	-1.9872	0.0082
2.2350	0.1121	-1.9859	0.0090
2.2350	0.1195	-1.9845	0.0098
2.2350	0.1273	-1.9831	0.0107
2.2350	0.1352	-1.9816	0.0116
2.2830	0.1434	-1.9801	0.0125
2.2830	0.1604	-1.9769	0.0144
2.2830	0.1691	-1.9753	0.0154
2.2830	0.1780	-1.9737	0.0163
2.3370	0.2057	-1.9686	0.0193
2.3370	0.2248	-1.9651	0.0213
2.3860	0.2542	-1.9597	0.0244
2.3860	0.2743	-1.9560	0.0265
2.4290	0.2947	-1.9522	0.0286
2.4290	0.3257	-1.9464	0.0317
2.4760	0.3780	-1.9377	0.0362
2.4880	0.3885	-1.9363	0.0369
2.5290	0.3989	-1.9349	0.0375
2.5290	0.4093	-1.9336	0.0381
2.5290	0.4196	-1.9324	0.0387
2.5290	0.4300	-1.9312	0.0392
2.5790	0.4403	-1.9301	0.0397
2.5790	0.4506	-1.9290	0.0401
2.5790	0.4609	-1.9280	0.0405
2.5790	0.4712	-1.9270	0.0408
2.5790	0.4815	-1.9262	0.0411
2.6260	0.5122	-1.9238	0.0418
2.6260	0.5224	-1.9231	0.0420
2.6290	0.5326	-1.9224	0.0422
2.6380	0.5428	-1.9218	0.0423
2.6950	0.5530	-1.9212	0.0424
2.6950	0.5632	-1.9206	0.0425
2.6950	0.5735	-1.9200	0.0426
2.6950	0.5837	-1.9194	0.0427
2.6950	0.5939	-1.9189	0.0427
2.7380	0.6042	-1.9184	0.0428
2.7380	0.6144	-1.9179	0.0428
2.7380	0.6247	-1.9175	0.0428
2.7380	0.6349	-1.9171	0.0428
2.7380	0.6451	-1.9167	0.0428
2.7830	0.6553	-1.9164	0.0427
2.7830	0.6655	-1.9160	0.0426
