t	x_truth	y_truth	th_truth
0.0000	-0.0000	-2.0002	0.0002
0.0080	-0.0000	-2.0002	0.0002
0.0180	-0.0000	-2.0002	0.0002
0.0280	-0.0000	-2.0002	0.0002
0.0390	-0.0000	-2.0002	0.0002
0.0870	-0.0000	-2.0002	0.0002
0.0870	-0.0000	-2.0002	0.0002
0.1450	-0.0000	-2.0002	0.0002
0.1450	-0.0000	-2.0002	0.0002
0.1930	-0.0000	-2.0002	0.0002
0.1930	-0.0000	-2.0002	0.0002
0.1930	-0.0000	-2.0002	0.0002
0.1980	-0.0000	-2.0001	0.0002
0.2070	-0.0000	-2.0001	0.0002
0.2540	-0.0000	-2.0001	0.0002
0.2540	-0.0000	-2.0001	0.0002
0.3010	-0.0000	-2.0001	0.0002
0.3010	-0.0000	-2.0002	0.0002
0.3430	-0.0000	-2.0001	0.0003
0.3480	-0.0000	-2.0001	0.0003
0.3580	-0.0000	-2.0001	0.0003
0.4060	-0.0000	-2.0001	0.0002
0.4540	-0.0000	-2.0002	0.0003
0.4540	-0.0000	-2.0001	0.0002
0.5040	-0.0000	-2.0001	0.0002
0.5040	-0.0000	-2.0001	0.0002
0.5550	-0.0000	-2.0001	0.0002
0.5550	-0.0001	-2.0001	0.0002
0.5550	-0.0000	-2.0001	0.0002
0.6030	-0.0000	-2.0001	0.0002
0.6030	-0.0000	-2.0001	0.0002
0.6470	-0.0000	-2.0001	0.0002
0.6470	-0.0000	-2.0001	0.0002
0.6470	-0.0000	-2.0001	0.0002
0.6490	-0.0000	-2.0001	0.0002
0.6590	-0.0000	-2.0001	0.0002
0.7090	-0.0000	-2.0001	0.0002
0.7090	-0.0000	-2.0001	0.0002
0.7600	-0.0000	-2.0001	0.0003
0.7600	-0.0000	-2.0001	0.0003
0.7600	-0.0000	-2.0001	0.0002
0.8020	-0.0000	-2.0001	0.0002
0.8020	-0.0001	-2.0001	0.0002
0.8070	-0.0000	-2.0001	0.0002
0.8800	-0.0000	-2.0001	0.0002
0.8800	-0.0000	-2.0001	0.0002
0.8800	-0.0001	-2.0001	0.0002
0.8800	-0.0001	-2.0001	0.0002
0.9240	-0.0001	-2.0001	0.0002
0.9240	-0.0001	-2.0001	0.0002
0.9240	-0.0001	-2.0001	0.0002
0.9240	-0.0001	-2.0001	0.0002
0.9680	-0.0001	-2.0001	0.0002
0.9680	-0.0001	-2.0001	0.0002
0.9680	-0.0001	-2.0001	0.0002
0.9680	-0.0001	-2.0001	0.0002
0.9680	-0.0001	-2.0001	0.0002
1.0110	-0.0001	-2.0001	0.0002
1.0110	-0.0001	-2.0001	0.0002
1.0270	-0.0001	-2.0001	0.0002
1.0350	-0.0000	-2.0001	0.0002
1.0950	-0.0000	-2.0001	0.0002
1.0950	-0.0001	-2.0001	0.0002
1.0950	-0.0001	-2.0001	0.0002
1.0950	-0.0001	-2.0001	0.0002
1.0950	-0.0001	-2.0001	0.0002
1.1480	-0.0001	-2.0001	0.0003
1.1480	-0.0001	-2.0001	0.0003
1.1480	-0.0001	-2.0001	0.0003
1.1480	-0.0001	-2.0001	0.0002
1.1980	-0.0001	-2.0001	0.0003
1.1980	-0.0001	-2.0001	0.0003
1.1980	-0.0001	-2.0001	0.0003
1.1980	-0.0001	-2.0001	0.0003
1.1980	-0.0001	-2.0001	0.0003
1.2090	-0.0000	-2.0001	0.0003
1.2200	-0.0001	-2.0001	0.0003
1.2610	-0.0001	-2.0001	0.0003
1.2610	-0.0001	-2.0001	0.0003
1.3050	-0.0001	-2.0001	0.0003
1.3050	-0.0001	-2.0001	0.0003
1.3050	-0.0001	-2.0001	0.0003
1.3050	-0.0001	-2.0001	0.0003
1.3510	-0.0000	-2.0001	0.0003
1.3510	-0.0000	-2.0001	0.0003
1.4000	-0.0001	-2.0001	0.0003
1.4000	-0.0001	-2.0001	0.0003
1.4550	-0.0001	-2.0001	0.0003
1.4550	-0.0000	-2.0002	0.0003
1.4550	-0.0000	-2.0002	0.0003
1.5110	-0.0001	-2.0001	0.0003
1.5110	-0.0001	-2.0002	0.0003
1.5730	-0.0001	-2.0002	0.0003
1.5730	-0.0001	-2.0002	0.0003
1.5730	-0.0001	-2.0002	0.0003
1.6290	-0.0001	-2.0002	0.0003
1.6290	-0.0001	-2.0002	0.0003
1.6290	-0.0001	-2.0002	0.0003
1.6860	-0.0001	-2.0002	0.0003
1.6860	-0.0001	-2.0002	0.0003
1.6880	-0.0001	-2.0002	0.0003
1.6980	-0.0001	-2.0002	0.0003
1.7510	-0.0001	-2.0002	0.0003
1.7510	-0.0001	-2.0002	0.0003
1.8110	-0.0001	-2.0002	0.0003
1.8110	-0.0001	-2.0002	0.0003
1.8620	-0.0001	-2.0002	0.0003
1.8620	-0.0001	-2.0002	0.0003
1.8620	-0.0001	-2.0002	0.0003
1.8620	-0.0001	-2.0002	0.0003
1.8620	-0.0001	-2.0002	0.0003
1.8720	-0.0001	-2.0002	0.0003
1.8780	-0.0000	-2.0002	0.0003
1.9320	0.0002	-2.0002	0.0003
1.9320	0.0009	-2.0002	0.0003
1.9830	0.0022	-2.0001	0.0003
1.9830	0.0063	-2.0000	0.0004
1.9830	0.0090	-1.9999	0.0005
1.9830	0.0122	-1.9998	0.0006
2.0310	0.0158	-1.9996	0.0007
2.0310	0.0198	-1.9993	0.0009
2.0310	0.0240	-1.9990	0.0011
2.0310	0.0285	-1.9986	0.0013
2.0310	0.0332	-1.9981	0.0016
2.0760	0.0381	-1.9976	0.0020
2.0760	0.0432	-1.9970	0.0024
2.0760	0.0484	-1.9964	0.0028
2.0760	0.0538	-1.9958	0.0032
2.0780	0.0592	-1.9952	0.0035
2.0880	0.0648	-1.9947	0.0038
2.1300	0.0704	-1.9943	0.0040
2.1300	0.0819	-1.9936	0.0044
2.1300	0.0876	-1.9935	0.0045
2.1880	0.1151	-1.9932	0.0046
2.2370	0.1256	-1.9931	0.0046
2.2370	0.1411	-1.9931	0.0046
2.2940	0.1462	-1.9930	0.0046
2.2940	0.1513	-1.9930	0.0046
2.2940	0.1564	-1.9930	0.0046
2.2940	0.1615	-1.9930	0.0046
2.2940	0.1666	-1.9929	0.0046
2.2940	0.1717	-1.9929	0.0046
2.3530	0.1869	-1.9928	0.0046
2.3530	0.2022	-1.9928	0.0046
2.4090	0.2175	-1.9927	0.0047
2.4090	0.2327	-1.9927	0.0047
2.4630	0.2428	-1.9926	0.0047
2.4630	0.2530	-1.9926	0.0047
2.4630	0.2581	-1.9925	0.0047
2.4690	0.2631	-1.9925	0.0047
2.4790	0.2682	-1.9925	0.0047
2.5300	0.2834	-1.9924	0.0047
2.5300	0.2936	-1.9923	0.0047
2.5820	0.3189	-1.9922	0.0047
2.6420	0.3341	-1.9921	0.0046
2.6420	0.3493	-1.9921	0.0046
2.7010	0.3544	-1.9920	0.0046
2.7010	0.3696	-1.9920	0.0046
2.7010	0.3746	-1.9919	0.0046
2.7010	0.3797	-1.9919	0.0046
2.7570	0.3949	-1.9918	0.0046
2.7570	0.3999	-1.9918	0.0046
2.7570	0.4050	-1.9918	0.0046
2.7610	0.4101	-1.9918	0.0046
2.7700	0.4151	-1.9917	0.0046
2.8240	0.4303	-1.9917	0.0046
2.8240	0.4404	-1.9916	0.0046
2.8790	0.4455	-1.9916	0.0046
2.8790	0.4505	-1.9916	0.0046
2.8790	0.4556	-1.9916	0.0046
2.8790	0.4606	-1.9916	0.0046
2.8790	0.4657	-1.9915	0.0046
2.8790	0.4707	-1.9915	0.0046
2.9330	0.4808	-1.9915	0.0046
2.9330	0.4909	-1.9914	0.0046
2.9330	0.4960	-1.9914	0.0046
2.9370	0.5011	-1.9914	0.0046
2.9490	0.5061	-1.9913	0.0046
2.9960	0.5263	-1.9912	0.0046
3.0450	0.5515	-1.9911	0.0046
3.0850	0.5566	-1.9911	0.0046
3.0850	0.5616	-1.9911	0.0046
3.0850	0.5667	-1.9911	0.0046
3.0850	0.5717	-1.9910	0.0046
3.0900	0.5768	-1.9910	0.0046
3.0980	0.5818	-1.9910	0.0046
3.1410	0.5869	-1.9910	0.0046
3.1410	0.5970	-1.9909	0.0046
3.1410	0.6020	-1.9909	0.0046
3.1840	0.6070	-1.9909	0.0046
3.1840	0.6121	-1.9909	0.0046
3.1840	0.6171	-1.9908	0.0046
3.1840	0.6222	-1.9908	0.0046
3.2280	0.6272	-1.9908	0.0046
3.2280	0.6323	-1.9907	0.0046
3.2280	0.6373	-1.9907	0.0046
3.2280	0.6423	-1.9907	0.0046
3.2280	0.6474	-1.9907	0.0046
3.2840	0.6524	-1.9907	0.0046
3.2840	0.6575	-1.9906	0.0046
3.2840	0.6625	-1.9906	0.0046
3.2840	0.6675	-1.9906	0.0046
3.2840	0.6726	-1.9905	0.0046
3.3330	0.6827	-1.9905	0.0046
3.3330	0.6978	-1.9904	0.0046
3.3780	0.7079	-1.9904	0.0046
3.3780	0.7179	-1.9903	0.0046
3.3780	0.7230	-1.9903	0.0046
3.3880	0.7280	-1.9903	0.0046
3.4250	0.7431	-1.9902	0.0046
3.4760	0.7582	-1.9902	0.0046
3.4760	0.7683	-1.9901	0.0046
3.5340	0.7834	-1.9900	0.0046
3.5340	0.7935	-1.9900	0.0046
3.5340	0.7985	-1.9900	0.0046
3.5910	0.8136	-1.9899	0.0046
3.5910	0.8287	-1.9898	0.0046
3.6480	0.8387	-1.9898	0.0046
3.6480	0.8589	-1.9897	0.0046
3.6780	0.8689	-1.9897	0.0046
3.6780	0.8739	-1.9896	0.0046
3.6880	0.8790	-1.9896	0.0046
3.6980	0.8840	-1.9896	0.0046
3.7420	0.8941	-1.9895	0.0046
3.7420	0.9041	-1.9895	0.0046
3.7960	0.9142	-1.9895	0.0046
3.7960	0.9293	-1.9894	0.0046
3.8490	0.9443	-1.9893	0.0046
3.8490	0.9594	-1.9892	0.0046
3.9000	0.9795	-1.9891	0.0046
3.9000	0.9845	-1.9891	0.0046
3.9080	0.9896	-1.9891	0.0046
3.9180	0.9946	-1.9891	0.0046
3.9550	1.0096	-1.9890	0.0046
4.0000	1.0147	-1.9890	0.0046
4.0000	1.0297	-1.9889	0.0046
4.0000	1.0348	-1.9889	0.0046
4.0470	1.0398	-1.9889	0.0046
4.0470	1.0498	-1.9888	0.0046
4.0470	1.0549	-1.9888	0.0046
4.0500	1.0599	-1.9888	0.0046
4.0580	1.0649	-1.9888	0.0046
4.1000	1.0850	-1.9887	0.0046
4.1550	1.0900	-1.9886	0.0046
4.1550	1.0950	-1.9886	0.0046
4.1550	1.1000	-1.9886	0.0046
4.1550	1.1051	-1.9886	0.0046
4.1550	1.1101	-1.9885	0.0046
4.2110	1.1151	-1.9885	0.0046
4.2110	1.1201	-1.9885	0.0046
4.2110	1.1251	-1.9885	0.0046
4.2110	1.1302	-1.9884	0.0046
4.2110	1.1352	-1.9884	0.0046
4.2110	1.1402	-1.9884	0.0046
4.2590	1.1603	-1.9883	0.0046
4.2590	1.1653	-1.9883	0.0046
4.2690	1.1703	-1.9883	0.0046
4.2790	1.1753	-1.9882	0.0046
4.3280	1.1904	-1.9882	0.0046
4.3280	1.2004	-1.9881	0.0046
4.3750	1.2105	-1.9881	0.0046
4.3750	1.2155	-1.9881	0.0046
4.3750	1.2205	-1.9880	0.0046
4.3780	1.2255	-1.9880	0.0046
4.3880	1.2305	-1.9880	0.0046
4.4310	1.2355	-1.9880	0.0046
4.4310	1.2405	-1.9879	0.0046
4.4310	1.2456	-1.9879	0.0046
4.4310	1.2506	-1.9879	0.0046
4.4790	1.2556	-1.9879	0.0046
4.4790	1.2656	-1.9878	0.0046
4.4790	1.2706	-1.9878	0.0046
4.4790	1.2757	-1.9878	0.0046
4.5210	1.2857	-1.9877	0.0046
4.5210	1.2907	-1.9877	0.0046
4.5210	1.2957	-1.9877	0.0046
4.5290	1.3007	-1.9876	0.0046
4.5380	1.3058	-1.9876	0.0046
4.5810	1.3108	-1.9876	0.0046
4.5810	1.3158	-1.9876	0.0046
4.5810	1.3208	-1.9875	0.0046
4.5810	1.3258	-1.9875	0.0046
4.6320	1.3308	-1.9875	0.0046
4.6320	1.3358	-1.9875	0.0046
4.6320	1.3409	-1.9874	0.0046
4.6320	1.3459	-1.9874	0.0046
4.6320	1.3509	-1.9874	0.0046
4.6790	1.3659	-1.9873	0.0046
4.6790	1.3759	-1.9873	0.0046
4.7310	1.3810	-1.9873	0.0046
4.7310	1.3860	-1.9873	0.0046
4.7310	1.3910	-1.9872	0.0046
4.7310	1.3960	-1.9872	0.0046
4.7310	1.4010	-1.9872	0.0046
4.7840	1.4060	-1.9872	0.0046
4.7840	1.4110	-1.9871	0.0046
4.7840	1.4161	-1.9871	0.0046
4.7840	1.4211	-1.9871	0.0046
4.7840	1.4261	-1.9871	0.0046
4.8290	1.4311	-1.9870	0.0046
4.8290	1.4411	-1.9870	0.0046
4.8290	1.4461	-1.9870	0.0046
4.8290	1.4511	-1.9870	0.0046
4.8730	1.4662	-1.9869	0.0046
4.8730	1.4712	-1.9869	0.0046
4.8780	1.4762	-1.9869	0.0046
4.8890	1.4812	-1.9868	0.0046
4.9380	1.4862	-1.9868	0.0046
4.9380	1.4912	-1.9868	0.0046
4.9380	1.4962	-1.9868	0.0046
4.9380	1.5013	-1.9867	0.0046
4.9380	1.5063	-1.9867	0.0046
