q1_d	q2_d	q3_d	q4_d	q1_a	q2_a	q3_a	q4_a	u1	u2	u2	u4
0.0000	0.0000	0.0000	0.0000	-0.0001	-0.0230	0.0028	-0.0072	82.2069	72866.2109	-10877.8242	2974.6206
0.0000	0.0000	0.0000	0.0000	-0.0001	-0.0229	0.0026	-0.0066	210.3647	74063.3047	-10861.2100	2786.1287
-0.0001	0.0077	-0.0263	-0.0058	0.0000	-0.0157	-0.0244	-0.0100	-1494.8745	114072.8281	9510.3213	-2038.4033
-0.0001	0.0412	-0.0549	-0.0051	-0.0011	0.0107	-0.0551	-0.0073	-43680.9570	193166.2656	9087.3213	-4209.3140
-0.0001	0.0704	-0.0772	-0.0045	0.0000	0.0292	-0.0802	-0.0047	-4962.8408	158838.9844	6377.8862	-3599.7329
-0.0001	0.0959	-0.0948	-0.0039	0.0002	0.0484	-0.0999	-0.0024	-1213.7819	145650.9531	5388.4932	-3492.2637
-0.0001	0.1182	-0.1087	-0.0035	0.0003	0.0660	-0.1156	-0.0005	-10.2948	141984.2969	5040.3911	-3439.3909
-0.0001	0.1376	-0.1197	-0.0030	0.0002	0.0819	-0.1282	0.0013	411.6797	140483.8281	4938.9019	-3484.3250
-0.0000	0.1546	-0.1284	-0.0027	0.0002	0.0959	-0.1384	0.0029	420.2655	141897.9844	4958.9907	-3543.6614
-0.0000	0.1694	-0.1353	-0.0023	0.0002	0.1083	-0.1466	0.0043	409.9765	142878.7500	5087.2407	-3660.1455
-0.0000	0.1824	-0.1409	-0.0020	0.0001	0.1193	-0.1533	0.0056	301.3841	143649.2344	5128.3862	-3612.2771
-0.0000	0.1938	-0.1453	-0.0018	0.0001	0.1291	-0.1587	0.0068	208.0802	144522.1562	5177.1362	-3655.1924
-0.0000	0.2037	-0.1490	-0.0016	0.0001	0.1380	-0.1631	0.0078	285.6361	144939.5469	5214.4995	-3614.0654
-0.0000	0.2124	-0.1519	-0.0014	0.0001	0.1461	-0.1666	0.0087	171.8732	145453.8906	5291.0229	-3685.4932
-0.0000	0.2200	-0.1543	-0.0012	0.0001	0.1536	-0.1695	0.0095	99.7562	145830.4844	5329.7007	-3691.4297
-0.0000	0.2266	-0.1562	-0.0011	0.0000	0.1605	-0.1718	0.0103	205.5966	145926.5312	5487.5630	-3738.3459
-0.0000	0.2325	-0.1578	-0.0009	0.0000	0.1669	-0.1737	0.0109	62.8965	146079.3281	5577.4312	-3733.7278
-0.0000	0.2376	-0.1591	-0.0008	0.0000	0.1730	-0.1752	0.0114	96.2072	146136.6250	5638.8535	-3748.8176
-0.0000	0.2420	-0.1602	-0.0007	0.0000	0.1788	-0.1763	0.0119	38.7915	146152.9844	5672.9839	-3743.7751
-0.0000	0.2459	-0.1611	-0.0006	0.0000	0.1843	-0.1772	0.0123	124.1234	145957.3750	5808.9893	-3726.0879
-0.0000	0.2494	-0.1618	-0.0005	0.0000	0.1896	-0.1778	0.0127	190.3312	145753.7500	5938.1333	-3753.1228
-0.0000	0.2524	-0.1625	-0.0005	0.0000	0.1946	-0.1782	0.0130	108.5541	145557.7812	5996.4131	-3722.1001
-0.0000	0.2550	-0.1630	-0.0004	0.0000	0.1995	-0.1784	0.0132	59.2911	145393.8594	6007.6323	-3672.5068
0.0000	0.2573	-0.1635	-0.0004	0.0000	0.2043	-0.1785	0.0134	51.3739	145190.8750	6107.6865	-3702.1572
0.0000	0.2593	-0.1638	-0.0003	0.0000	0.2089	-0.1785	0.0136	-26.9026	144962.7656	6185.0728	-3681.1257
0.0000	0.2611	-0.1642	-0.0003	0.0000	0.2134	-0.1784	0.0137	22.1063	144675.2344	6265.7437	-3707.0811
0.0000	0.2627	-0.1644	-0.0003	0.0000	0.2177	-0.1782	0.0138	50.2331	144432.1094	6311.9966	-3655.4915
0.0000	0.2640	-0.1647	-0.0002	-0.0000	0.2220	-0.1779	0.0138	16.1040	144041.0625	6396.7080	-3654.7781
0.0000	0.2652	-0.1649	-0.0002	-0.0000	0.2261	-0.1775	0.0138	121.0802	143723.0625	6502.0400	-3677.9468
0.0000	0.2663	-0.1650	-0.0002	-0.0000	0.2300	-0.1771	0.0138	33.0879	143412.6094	6588.2886	-3638.9236
0.0000	0.2672	-0.1652	-0.0001	-0.0000	0.2339	-0.1766	0.0138	4.2082	143136.9688	6689.7441	-3663.0977
0.0000	0.2680	-0.1653	-0.0001	-0.0000	0.2376	-0.1761	0.0137	74.7145	142857.3125	6679.6938	-3574.4192
0.0000	0.2687	-0.1654	-0.0001	-0.0000	0.2412	-0.1756	0.0137	-7.1682	142549.8281	6796.3589	-3653.9412
0.0000	0.2693	-0.1655	-0.0001	-0.0000	0.2446	-0.1751	0.0136	-161.1989	142295.5000	6882.2412	-3611.3213
0.0000	0.2698	-0.1656	-0.0001	-0.0000	0.2479	-0.1745	0.0135	33.2972	142011.3438	6920.9414	-3615.2114
0.0000	0.2703	-0.1657	-0.0001	-0.0000	0.2511	-0.1740	0.0134	-8.9610	141805.5000	7046.2188	-3633.1016
0.0000	0.2707	-0.1658	-0.0001	-0.0000	0.2541	-0.1734	0.0133	76.2137	141506.4219	7066.7632	-3566.9934
0.0000	0.2711	-0.1658	-0.0001	-0.0000	0.2570	-0.1729	0.0131	76.4066	141360.7031	7093.7505	-3600.3496
0.0000	0.2714	-0.1659	-0.0001	-0.0000	0.2597	-0.1723	0.0130	56.2604	141195.5781	7152.3604	-3587.9368
0.0000	0.2717	-0.1659	-0.0000	-0.0000	0.2622	-0.1718	0.0128	-0.4187	141065.7500	7174.4233	-3546.0371
0.0000	0.2720	-0.1659	-0.0000	-0.0000	0.2646	-0.1712	0.0127	105.4628	140801.8125	7260.6538	-3588.5420
0.0000	0.2722	-0.1660	-0.0000	-0.0000	0.2669	-0.1707	0.0125	67.3802	140560.5312	7287.6094	-3513.8230
0.0112	0.2785	-0.2100	0.0315	0.0039	0.2707	-0.2103	0.0336	184052.0156	255504.5156	-6351.5410	-8855.5088
0.0376	0.3030	-0.2953	0.0765	0.0231	0.2890	-0.2960	0.0799	33815.2617	167346.1562	11747.9854	-3739.7817
