q1	q2	q3	q4	q1d	q2d	q3d	q4d	q1dd	q2dd	q3dd	q4dd	tau1	tau2	tau2	tau4
-0.0017	0.2078	-0.5348	0.0053	-0.0856	-1.3140	0.4986	-1.1645	0.0000	0.0000	0.0000	0.0000	-408005.3583	-9713496.6304	174963.5072	120952.2440
-0.0021	0.1998	-0.5325	0.0055	-0.0097	-0.2676	0.1541	0.0552	3.6138	49.8283	-16.4032	58.0804	8416.9908	387253.4715	50648.2357	-21454.2202
-0.0022	0.1986	-0.5307	0.0055	-0.0026	-0.0389	0.2433	-0.0197	0.4444	14.2957	5.5752	-4.6783	5799.9342	310525.7608	48507.8800	-3497.5633
-0.0021	0.1982	-0.5262	0.0055	0.0034	0.0228	0.3288	0.0003	0.3013	3.0808	4.2743	0.9987	-1292.8643	255371.7514	23399.1489	-5878.6477
-0.0021	0.1997	-0.5192	0.0054	0.0036	0.1106	0.3661	-0.0097	0.0073	2.6608	1.1307	-0.3026	-1836.6028	148506.4305	10746.3067	-4055.2681
-0.0019	0.2044	-0.5061	0.0050	0.0036	0.1524	0.3933	-0.0144	-0.0138	6.9748	4.5416	-0.7874	-1879.0997	94438.9202	3578.7263	-3149.9026
-0.0022	0.2052	-0.5019	0.0048	-0.0313	0.0738	0.4263	-0.0014	-4.9761	-11.2303	4.7035	1.8512	41399.6327	174523.2552	-3590.1008	-5179.6539
-0.0025	0.2060	-0.4976	0.0048	-0.0418	0.0801	0.4216	-0.0017	-1.3143	0.7830	-0.5796	-0.0261	56124.2585	165581.0915	-3623.9948	-5231.7865
-0.0026	0.2064	-0.4934	0.0048	0.0145	0.0475	0.4226	0.0035	5.6290	-3.2539	0.0934	0.5124	-11082.6469	200400.8481	-4879.4755	-6040.9057
-0.0024	0.2069	-0.4892	0.0049	0.0014	0.0423	0.4125	0.0053	-1.3089	-0.5232	-1.0034	0.1806	-8451.4745	204165.5694	-3360.4517	-6955.5256
-0.0024	0.2074	-0.4851	0.0049	0.0020	0.0415	0.4081	0.0034	0.0544	-0.0802	-0.4408	-0.1886	475.6660	199408.8198	-3728.1512	-6047.2083
-0.0024	0.2078	-0.4810	0.0049	0.0024	0.0406	0.4032	0.0031	0.0456	-0.0922	-0.4928	-0.0246	-170.5385	198573.4101	-3689.7561	-5997.3473
-0.0023	0.2082	-0.4770	0.0050	0.0029	0.0393	0.3982	0.0033	0.0549	-0.1434	-0.5526	0.0156	-888.7141	198006.3863	-3635.9346	-5943.9889
-0.0023	0.2085	-0.4735	0.0050	0.0036	0.0384	0.3937	0.0033	0.0651	-0.0898	-0.4565	0.0011	-1509.5884	197440.5427	-3547.4034	-5953.8183
-0.0023	0.2089	-0.4696	0.0050	0.0038	0.0371	0.3887	0.0032	0.0238	-0.1289	-0.4916	-0.0116	-2025.2994	197296.8475	-3469.5889	-5942.6186
-0.0022	0.2093	-0.4653	0.0050	0.0040	0.0354	0.3834	0.0030	0.0207	-0.1508	-0.4855	-0.0123	-2531.2712	197055.6001	-3358.8791	-5924.2781
-0.0022	0.2096	-0.4615	0.0051	0.0043	0.0341	0.3785	0.0030	0.0314	-0.1294	-0.4924	0.0006	-2995.5903	196783.0485	-3244.7762	-5925.1736
-0.0022	0.2099	-0.4581	0.0051	0.0047	0.0326	0.3742	0.0030	0.0360	-0.1716	-0.4746	-0.0069	-3188.6166	196951.7983	-3159.0879	-5927.7883
-0.0021	0.2103	-0.4544	0.0051	0.0047	0.0312	0.3692	0.0031	0.0017	-0.1366	-0.4981	0.0118	-3383.9459	197161.5326	-3072.9592	-5914.2899
-0.0021	0.2106	-0.4507	0.0052	0.0049	0.0296	0.3644	0.0031	0.0248	-0.1663	-0.4825	-0.0013	-3802.8943	197172.7479	-2945.5557	-5925.8965
-0.0020	0.2108	-0.4472	0.0053	0.0048	0.0427	0.3430	0.0126	-0.0140	1.3135	-2.1426	0.9538	-3857.7439	186985.7308	-88.1536	-7714.2676
-0.0020	0.2117	-0.4429	0.0053	0.0039	0.0848	0.3245	-0.0016	-0.0508	2.3369	-1.0264	-0.7917	-2672.4995	138684.4371	2648.5369	-5270.6089
-0.0019	0.2130	-0.4387	0.0053	0.0035	0.1066	0.3173	-0.0085	-0.0207	1.1486	-0.3770	-0.3614	-2193.8562	112343.8795	3148.5483	-4050.0486
-0.0019	0.2143	-0.4349	0.0051	0.0034	0.1169	0.3142	-0.0115	-0.0324	2.5845	-0.7867	-0.7436	-2035.0755	98686.0517	2922.8914	-3511.6979
-0.0019	0.2147	-0.4336	0.0051	-0.0040	0.0959	0.3273	-0.0174	-3.6821	-10.4907	6.5557	-2.9622	4714.2147	118498.9285	366.9922	-2151.1603
-0.0019	0.2156	-0.4307	0.0050	-0.0036	0.0936	0.3225	-0.0072	0.0550	-0.2935	-0.6008	1.2790	6602.2138	120476.8437	399.4794	-4132.9401
-0.0019	0.2164	-0.4278	0.0049	-0.0055	0.0955	0.3180	-0.0075	-0.2151	0.2095	-0.4995	-0.0349	9170.2720	116875.0314	623.6098	-4105.0942
-0.0020	0.2174	-0.4247	0.0048	0.0041	0.0797	0.3229	-0.0159	0.9607	-1.5747	0.4862	-0.8427	1004.6724	131184.2036	-923.0502	-2271.6030
-0.0019	0.2181	-0.4215	0.0047	0.0037	0.0749	0.3166	-0.0053	-0.0424	-0.4838	-0.6265	1.0579	-2460.9660	134764.6023	-513.9777	-4384.8291
-0.0019	0.2189	-0.4183	0.0047	0.0034	0.0739	0.3113	-0.0051	-0.0301	-0.0999	-0.5337	0.0255	-2277.2817	134464.4040	-184.6932	-4482.8964
-0.0019	0.2196	-0.4153	0.0046	0.0032	0.0727	0.3065	-0.0052	-0.0151	-0.1194	-0.4800	-0.0128	-1964.0699	134124.2444	26.2289	-4424.9354
-0.0018	0.2203	-0.4122	0.0046	0.0029	0.0716	0.3020	-0.0053	-0.0254	-0.0987	-0.4090	-0.0132	-1828.5578	134001.9178	200.8889	-4386.7328
-0.0018	0.2210	-0.4092	0.0045	0.0028	0.0705	0.2976	-0.0054	-0.0181	-0.1205	-0.4809	-0.0046	-1581.9001	133766.0177	353.6050	-4365.0502
-0.0018	0.2217	-0.4063	0.0045	0.0027	0.0694	0.2934	-0.0054	-0.0067	-0.1132	-0.4234	-0.0028	-1436.6262	133709.5969	471.3821	-4351.6489
-0.0018	0.2224	-0.4034	0.0044	0.0027	0.0682	0.2895	-0.0056	-0.0060	-0.1220	-0.3934	-0.0154	-1287.7104	133499.5656	573.9577	-4317.3333
-0.0017	0.2232	-0.3999	0.0044	0.0024	0.0667	0.2848	-0.0056	-0.0228	-0.1278	-0.3917	0.0004	-1183.7013	133411.8960	697.8900	-4307.0316
-0.0017	0.2238	-0.3976	0.0043	0.0023	0.0658	0.2816	-0.0055	-0.0044	-0.1061	-0.3984	0.0026	-1022.1449	133416.5337	772.7195	-4297.3802
-0.0017	0.2244	-0.3949	0.0043	0.0022	0.0645	0.2779	-0.0055	-0.0134	-0.1305	-0.3705	0.0046	-989.6612	133402.9614	852.4302	-4266.2014
-0.0017	0.2250	-0.3921	0.0042	0.0021	0.0634	0.2740	-0.0054	-0.0139	-0.1060	-0.3868	0.0095	-873.1974	133462.6728	939.6429	-4274.3026
